Code,Name,Amount
A.01.05.013,"Pasta wholemeal",0.4377
A.01.05.006,"Pasta-like products",8.2683
I.01.07.001.051,"Shortcrust (pies -tarts)",2.9129
A.06.11.002,"Pate, goose liver",0.1611
A.06.11.004,"Pate, pork liver",0.193
A.11.03.001,"Peanut butter",0.0507
A.11.04.011,"Peanut oil, edible",0.0621
A.04.02.021,"Peanuts and similar-",0.1254
A.05.02.002,"Pears",3.4657
A.16.02.028,"Sichuan pepper fruit",0.2941
A.06.09.006.005,"Spalla cotta",0.2684
A.02.03.002,"Sweet peppers",3.1091
A.07.01.010,"Perch",0.0994
I.16.08.006.002,"Pesto",0.1434
A.02.14.005,"Processed or preserved vegetables and similar",0.0482
A.06.06.003,"Pig stomach",0.293
A.06.06.011,"Pig kidney",0.0421
A.04.03.010,"Pine nut kernels and similar-",0.0038
A.05.06.021,"Pineapples",1.379
A.04.03.011,"Pistachios",0.0428
A.01.04.005.007,"Pita bread",2.0852
I.19.01.002.009,"Yeast bread – pizza dough",7.83
A.07.01.021,"Pleurotus",0.0398
A.01.07.001.034,"Sponge cake",6.8449
A.19.08.007,"Poached eggs",0.0221
A.02.06.002,"Podded pea (young pods)",0.0836
A.20.01.005,"Popcorn kernels",1.2598
A.03.01.007,"Potato crisps or sticks",2.2127
A.03.01.010,"Potato starch",0.002
A.03.01.002,"Starchy root and tuber products",93.3951
A.06.06.005,"Poultry other slaughtering products",0.084
A.10.03.010,"Pralines",0.0062
A.07.04.004,"Prawn, northern",0.294
I.20.02.003.002,"Starchy pudding",1.7842
I.02.14.013,"Processed tomato products",0.4511
A.20.01.006,"Pretzels",0.3206
A.05.06.011,"Prickly pears",0.0199
A.08.08.004,"Processed cheese, spreadable",0.3555
A.08.08.003,"Processed cheese, sliceable",1.1585
A.01.06.001.002,"Processed mixed cereal-based flakes",1.8499
A.01.06.001.020,"Processed wheat-based flakes",0.5573
A.01.07.001.029,"Profiterole",0.0634
A.01.07.001.013,"Puff-pastry croissant, filled with chocolate",5.0625
A.01.04.006.002,"Puffed corn textured bread",0.1225
A.01.04.006.008,"Puffed rice textured bread",0.0864
A.02.03.010,"Pumpkins and similar-",1.5087
A.08.08.001,"Quark",7.6796
I.01.02.010.006,"Quinoa grain",0.1173
A.06.01.007,"Rabbit, other slaughtering products",0.6009
A.02.01.008,"Small radishes",0.3561
A.11.04.013,"Rape seed oil, edible",0.1383
A.05.04.006,"Raspberries and similar-",0.6634
A.07.01.031,"Rays",0.048
A.17.06,"Special food for children's growth",0.0973
A.17.06.001,"Ready-to-eat vegetable-based meal for children",0.059
A.02.04.004,"White cabbage",0.4792
A.01.02.009.006,"Rice based dishes dry, uncooked",1.2036
A.08.09.005,"Rice drink",0.5627
A.01.03.006.001,"Rice flour",0.0606
A.01.02.009.003,"Rice grain",11.3344
A.01.06.004.004,"Rice, popped",0.6737
A.08.08.144,"Ricotta",0.0119
A.02.05.007,"Roman rocket and similar-",0.1799
I.16.01.023,"Rosemary, dry",0.0013
