Code,Name,Amount
A.07.01.022,"Yellowfin sole",0.0503
A.20.02.005,"Water-based ice creams",1.5594
A.02.05.021,"Sorrel",0.0007
A.05.03.007,"Sour cherries",0.1555
A.08.05.003.002,"Sour cream, plain",1.2833
A.11.04.016,"Soya bean oil, refined",0.041
A.06.12.001,"Soyabean-based meat imitates",0.0151
A.04.02.012,"Soyabeans for oil",0.0069
I.02.05.023,"Sprouts, shoots and similar",0.0773
A.01.07.002.008,"Speculaas",0.2757
A.01.06.001.019,"Spelt rolled grains",0.0127
I.16.03.003.002,"Spices",0.0136
A.02.05.010,"Taros",2.8564
A.14.06.006,"Spirits made from stone fruits",0.0017
A.01.07.002.014,"Sticks, salty",0.9094
A.16.04.009,"Thickener",0.1478
A.16.04.010,"Stock cubes or granulate, chicken",0.0031
A.10.01.011,"Sugars (mono- and di-saccharides)",0.5075
A.10.01.006,"Sugar, icing - powder",0.0654
A.11.04.017,"Sunflower seed oil, edible",0.8958
A.04.04.005,"Sunflower seeds",0.0827
A.02.01.010,"Swedes",0.1096
I.16.08.010.007,"Sweet and sour sauce",0.0848
A.01.06.003.002,"Sweet bars and other formed sweet masses",0.0611
A.02.03.012,"Sweet corn canned",1.2425
A.10.06.005,"Syrups (molasses and other syrups)",0.0751
A.15.01,"Tap water",159.2963
A.16.01.011,"Tarragon",0.0061
A.02.10.001,"Teas leaves, dry and/or fermented, and similar",43.5753
A.16.01.008,"Thyme",0.0326
A.10.04.006,"Toffee",0.3825
A.08.09.011,"Tofu",0.0426
A.16.05.006,"Tomato ketchup and related sauces",2.9628
I.02.14.014,"Tomato paste",0.8315
A.02.14.003,"Tomato puree",0.0198
A.02.03.001,"Tomatoes and similar-",19.7705
A.20.01.003,"Tortilla chips",0.1103
A.08.06.005,"Traditional sour milk products",0.1213
I.07.01.006.002,"Trouts",0.2205
A.02.16.004,"Truffles",0.0053
A.07.01.014,"Tuna and bonito (generic)",0.2156
A.06.02.002,"Turkey meat, dried",2.4388
A.16.02.031,"Turmeric roots",0.0007
A.01.04.005.003,"Wheat crisp bread",0.0251
A.16.09.003,"Vanillin flavour",0.0564
A.19.07.001,"Vegetables and vegetable products",0.673
A.16.05.004,"Vinegar, wine",0.8773
A.16.05.005,"Vinegar, apple",0.0279
A.18.02.001,"Vitamins",0.189
A.01.07.001.037,"Waffles",0.1783
A.11.04.019,"Walnut oil",0.0141
A.04.03.012,"Walnuts",0.3505
A.02.03.011,"Watermelons and similar-",6.3181
A.06.09.001.004,"Weisswurst",0.2935
A.01.04.001.004,"Wheat bread and rolls, brown or wholemeal",0.2853
A.01.03.001.003,"Wheat flour white",21.2868
A.01.02.001.001,"Wheat germ",0.0064
A.01.03.001.009,"Wheat groats",0.0333
A.01.03.001.012,"Wheat semolina",0.5774
A.01.03.001.004,"Wheat wholemeal flour",0.2741
A.01.06.004.005,"Wheat, popped",1.6149
I.10.03.009.002,"White chocolate",0.1853
A.10.01.001,"White sugar",8.2744
A.14.02.003,"Wine, red",0.0157
A.14.02.001,"Wine-like drinks",0.0504
I.16.01.017,"Winter savory",0.0034
A.02.05.016,"Witloofs and similar-",0.1299
A.16.04.015,"Yeast extract",0.1328
A.01.07.001.002,"Yeast leavened sweet doughs",4.5094
A.08.06.002.002,"Yoghurt drinks, including sweetened and/or flavoured variants",5.3681
A.08.06.001.002,"Yoghurt, cow milk",23.7593
