Code,Name,Amount
A.01.07.001.034,"Sponge cake",5.6781
A.05.03.002,"Plums and similar-",3.0844
A.19.08.007,"Poached eggs",0.146
A.20.01.005,"Popcorn kernels",0.2686
A.11.01.004,"Pork lard",0.0572
A.03.01.004,"Potato flakes",0.2586
A.03.01.002,"Starchy root and tuber products",45.9612
I.02.14.013,"Processed tomato products",17.5458
A.05.06.011,"Prickly pears",0.8333
A.08.08.003,"Processed cheese, sliceable",0.8813
A.08.08.004,"Processed cheese, spreadable",1.798
A.01.06.001.002,"Processed mixed cereal-based flakes",1.1448
A.01.06.001.011,"Processed oat-based flakes",0.5071
A.01.06.001.020,"Processed wheat-based flakes",0.405
A.01.07.001.029,"Profiterole",0.0882
A.18.02.005,"Protein and amino acids supplements",0.22
A.01.04.006.002,"Puffed corn textured bread",0.4924
A.01.04.006.008,"Puffed rice textured bread",0.4893
A.04.04.009,"Pumpkin seeds",0.2214
A.02.03.010,"Pumpkins and similar-",1.8924
A.01.07.001.022,"Quinces",0.627
I.01.02.010.006,"Quinoa grain",0.0964
A.06.01.007,"Rabbit, other slaughtering products",1.7093
A.02.01.008,"Small radishes",0.1379
A.07.01.031,"Rays",0.3487
A.17.06,"Special food for children's growth",0.241
A.08.09.005,"Rice drink",2.9597
A.01.03.006.001,"Rice flour",0.005
A.01.02.009.003,"Rice grain",10.5485
A.01.03.006.004,"Rice starch",0.0009
A.01.06.004.004,"Rice, popped",0.1653
A.02.05.007,"Roman rocket and similar-",1.8456
I.16.01.023,"Rosemary, dry",0.3137
A.14.06.005,"Rum",0.0095
A.01.04.005.005,"Rusk, refined flour",2.4167
A.01.04.005.006,"Rusk, wholemeal",2.4376
A.16.02.029,"Saffron and similar-",0.0017
I.16.01.022,"Sage, dry",0.0054
A.16.04.001,"Salt",0.648
A.16.04.003,"Salt, iodised",0.4091
A.01.04.001.010,"Sandwich bread (hamburger roll-type)",0.0537
A.07.01.003,"Sardines and sardine-type fishes",0.1064
A.07.01.011,"Sea bass",3.1227
A.07.01.026,"Sea bream",2.7673
A.11.04.015,"Sesame seed oil, edible",1.3469
A.02.14.011,"Sesame paste (tahini) (sesamus indicum)",0.0074
A.04.04.004,"Sesame seeds",0.1414
A.07.04.005,"White shrimp",2.424
I.08.08.189,"Soft-ripened cheese with natural rind and other soft-ripened cheeses",0.9211
A.13.01.002.010,"Soft drinks with minor amounts of fruits or flavours",4.4935
A.13.01.002.011,"Soft drink, with fruit juice (fruit content below the minimum for nectars)",5.8521
A.08.08.105,"Soft-ripened washed-rind cheese (limburger type)",0.1309
A.07.01.022,"Yellowfin sole",1.3172
A.20.02.005,"Water-based ice creams",2.8795
A.16.05.011,"Teriyaki sauce",0.1234
A.11.04.016,"Soya bean oil, refined",0.0539
A.08.09.008,"Soya drink",3.8128
A.08.09.009,"Soya yoghurt",0.4855
A.06.12.001,"Soyabean-based meat imitates",0.2652
A.04.02.012,"Soyabeans for oil",0.0482
I.02.05.023,"Sprouts, shoots and similar",0.1177
A.14.02.002,"Sparkling wine",1.5014
A.01.07.002.008,"Speculaas",0.0107
A.01.02.005,"Spelt grain",1.1278
A.02.05.010,"Taros",6.0637
A.14.06.006,"Spirits made from stone fruits",0.3985
A.01.07.001.035,"Sponge cake dough (génoise)",0.303
A.07.05.001,"Squids, cuttlefishes, octopuses",3.506
I.20.02.003.002,"Starchy pudding",0.7266
A.01.07.002.014,"Sticks, salty",0.0895
A.16.04.009,"Thickener",0.0844
A.10.01.011,"Sugars (mono- and di-saccharides)",1.6931
A.11.04.017,"Sunflower seed oil, edible",0.2548
A.01.06.003.002,"Sweet bars and other formed sweet masses",0.1584
A.02.03.012,"Sweet corn canned",0.8033
A.02.03.002,"Sweet peppers",7.0196
