Code,Name,Amount
I.07.01.017.004,"Haddock",1.0342
A.07.01.018,"Hakes",0.2963
A.10.04.001,"Hard candies",0.4651
I.08.08.192,"Other processed cheese",11.6083
A.04.03.007,"Primary derivatives from nuts and similar seeds",0.0635
A.02.04.004,"White cabbage",8.2193
A.09.01.003,"Hen egg white",0.2739
A.09.01.002,"Hen egg yolk",0.0261
A.13.02.004,"Wormwoods infusion leaves",16.6581
A.07.01.001,"Smoked herring",0.6548
I.16.08.005.002,"Hollandaise type sauce",0.0188
A.10.07.003,"Minor honey types",1.0235
A.02.01.005,"Wasabi roots",0.0006
A.16.05.009,"Horseradish sauce",0.0145
A.13.05.001,"Hot drinks and similar (coffee, cocoa, tea and herbal infusions)",0.7427
I.20.02.001.007,"Ice cream, milk-based",5.3576
I.20.02.002.003,"Ice cream, milk-imitate based",0.0666
A.08.09.007,"Imitation cheese",0.0026
A.01.02.009.007,"Indian rice grain",0.0223
I.16.03.003.002,"Spices",0.0021
A.13.03.007,"Instant coffee (beverage)",0.0291
A.02.12.007,"Instant coffee powder, decaffeinated",0.1061
A.18.02.005,"Protein and amino acids supplements",0.1531
A.05.08.001.001,"Jam, strawberries",0.4148
A.05.08.001.011,"Jam, apricots",0.0257
A.05.08.001.003,"Jam, blackberries",0.0084
A.05.08.001.009,"Jam, blueberries",0.0188
A.05.08.001.005,"Jam, currants (black)",0.0822
A.05.08.001.007,"Jam, gooseberries",0.0059
A.05.08.001.018,"Other fruit spreads",1.0048
A.05.08.001.002,"Jam, raspberries",0.2474
A.05.08.001.014,"Jam, sweet cherry",0.0186
A.10.04.013,"Soft candies and analogues",0.9623
A.12.02.005,"Juice concentrate, black currant",0.1103
A.12.01.001,"Other fruit juices",5.1845
A.12.06.002,"Juice, carrot",0.2845
A.12.01.007,"Juice, cranberry",2.116
A.12.01.006,"Juice, grape",0.1236
A.12.01.003,"Juice, grapefruit",1.1405
A.12.01.010,"Juice, lemon",0.3153
A.12.01.011,"Juice, lime",0.0134
I.12.04.011,"Multivitamin juices",2.5502
I.12.08.002.001,"Juice, multi-fruit-carrot",0.346
A.12.01.002,"Juice, orange",30.7579
A.12.01.004,"Juice, pineapple",0.2451
A.12.01.008,"Juice, pomegranate",0.4988
A.12.01.017,"Juice, prune",0.209
A.12.06.001,"Juice, tomato",0.1883
A.05.06.008,"Sweetsops",1.7943
A.06.01.004,"Lamb fresh meat",8.2597
A.02.05.010,"Taros",0.8922
A.02.07.006,"Leeks and similar-",0.946
A.05.01.003,"Lemons and similar-",0.0737
I.04.02.023,"Lentils (dry)",0.333
A.04.02.008,"Lima beans (dry)",0.0133
A.05.01.004,"Limes",0.0004
A.04.04.001,"Linseeds",0.1888
I.14.05.001.001,"Liqueurs",0.5944
I.14.05.001.002,"Liquid drink bases (including concentrates and home-made preparations)",5.0542
A.10.04.011,"Liquorice candies",0.1664
A.06.10.005,"Liver cheese",0.1166
A.06.08.014,"Luncheon spiced ham-type tinned meat",0.1697
A.04.03.008,"Macadamias",0.0031
A.01.07.001.043,"Macaroons",0.0973
A.16.02.025,"Mace aril",0
A.07.01.013,"Smoked mackerel",0.4183
A.03.01.002,"Starchy root and tuber products",68.2488
A.01.03.004.001,"Maize, milled",0.2258
A.06.01.003,"Porchetta",9.3322
A.16.07.004,"Mango chutney",0.061
A.05.06.016,"Mangoes",0.2146
A.10.06.002,"Maples (trunk sap)",0.0577
I.16.01.028,"Marjoram, dry",0.0101
A.05.08.002.001,"Marmalade, oranges",1.3446
A.10.04.003,"Marzipan raw mass",0.0075
A.16.06.005,"Mayonnaise, hollandaise and related sauces",5.5229
A.16.04.013,"Meat extract",0.0067
A.19.10.004,"Meat/poultry soup, dry",0.3188
A.02.03.009,"Melons and similar-",1.0005
I.01.07.001.075,"Meringue",0.1576
I.01.07.001.071,"Meringue tart",0.7318
I.10.03.008.002,"Milk chocolate",2.8934
A.08.03.003.001,"Milk powder, full fat",0.0368
A.08.03.003.003,"Milk powder, skimmed",0.0284
A.08.02.002.003,"Milkshakes",0.8157
A.18.02.002,"Zinc",0.1734
A.16.05.010,"Mint sauce",0.0161
I.16.01.014,"Mints",0.0013
A.01.06.005.001,"Processed and mixed breakfast cereals",2.9382
A.01.06.002.001,"Mixed cereal-based snacks",0.1688
A.16.07.005,"Mixed chutney",0.0092
A.05.09.001,"Mixed dried fruits",0.0653
I.16.03.003.001,"Mixed herbs and spices",0.0386
A.16.07.010,"Mixed pickle",0.1244
A.19.11.002,"Mushroom salad",0.0088
I.19.07.004.001,"Salted vegetables",0.0093
A.19.10.001,"Vegetables-based cooked sauce",4.1278
A.08.08.120,"Mozzarella",4.0585
A.01.06.002.009,"Muesli plain",2.0177
A.01.07.001.036,"Muffins",1.6181
A.01.04.004.001,"Multigrain (not only rye-wheat) bread and rolls",10.52
A.04.02.009,"Mung beans (without pods)",0.6694
A.19.10.008,"Mushroom soup, dry",0.0625
I.16.08.010.002,"Mushrooms cooked sauce",0.2541
A.02.14.001,"Mushy peas",0.7331
A.07.05.007,"Mussels",0.1213
I.16.08.010.003,"Mustard and related sauces",0.149
A.04.04.007,"Mustard seeds and similar-",0.0001
A.19.02.001,"Spring rolls",0.2898
A.05.03.011,"Peaches and similar-",1.4892
A.03.01.001,"New potatoes",12.9627
A.08.09.003,"Non dairy coffee creamer",0.0018
A.10.04.014,"White nougat mass",0.032
A.16.02.027,"Nutmeg seed",0.0042
A.01.02.008,"Oat popped",0.5781
A.01.06.001.011,"Processed oat-based flakes",0.7956
A.08.09.004,"Spelt drink",0.0563
A.11.04.008,"Olive pomace oil",0.5892
A.05.05.001,"Olives, processed",0.2823
I.16.02.034,"Onions and similar-",16.3398
I.16.01.013,"Oregano",0.002
I.20.02.004.001,"Other desserts spoonable",0.519
I.16.08.009.002,"Oyster sauce",0.1057
A.07.05.008,"Oysters",0.0039
A.03.01.007,"Potato crisps or sticks",13.8454
A.01.07.001.028,"Pancakes",1.797
