FBS code,"SUA Names, shortened list",FoodEx2 Code,FoodEx2 Name,SUA equivalent,,,,,,,
1242,"Peas, green",A00SB,Leeks,01254,leeks and other alliaceous vegetables,,,,,,
1651,"Pepper (Piper spp.), raw",A00SD,Rhubarbs,1801,sugar beet,,,,,,
1318,Pineapples,A00RV,Bamboo shoots,,,,,,?,,
1313,Plantains and cooking bananas,A00SC,Palm hearts,,,,,,?,,
1346,Plums and sloes,A010T,Sugar beet roots,,,,,,?,,
1321,Pomelos and grapefruits,A010Z,Chicory roots,01599.1,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",,,,,,
1448,Poppy seed,A00VG,Carrageen mosses,,,,,,?,sjögräs,
1510,Potatoes,A00VM,Kombu,,,,,,?,,
1235,"Pumpkins, squash and gourds",A00VH,Laver,,,,,,?,,
01342.02,Quinces,A00VC,Wakame,,,,,,?,,
1194,Quinoa,A04KK,Teas  and similar-,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
1443,Rape or colza seed,A00XZ,Mints,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
01443_s,"Rape or colza seed, spring",A03JL,Strawberry infusion leaves,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
01443_w,"Rape or colza seed, winter",A03JV,Ginseng infusion roots,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
01353.01,Raspberries,A03GK,"Coffee beans, green",01610,"Coffee, green",,,,,,
113,Rice,A00YZ,Hops,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
116,Rye,A00TQ,Common mushrooms,01270,Mushrooms and truffles,,,,,,
114,Sorghum,A00TR,Pearl oyster mushrooms,01270,Mushrooms and truffles,,,,,,
01344.01,Sour cherries,A00TS,Shiitake,01270,Mushrooms and truffles,,,,,,
141,Soya beans,A00TL,Honey mushroom,01270,Mushrooms and truffles,,,,,,
1215,Spinach,A00TG,Ceps,01270,Mushrooms and truffles,,,,,,
1354,Strawberries,A00TJ,Truffles,01270,Mushrooms and truffles,,,,,,
1801,Sugar beet,A00TK,Morels,01270,Mushrooms and truffles,,,,,,
1802,Sugar cane,A00TE,Chanterelles,01270,Mushrooms and truffles,,,,,,
1445,Sunflower seed,A00TH,Saffron milk cap,01270,Mushrooms and truffles,,,,,,
1530,Sweet potatoes,A00ZV,New potatoes,01510,Potatoes,,,,,,
1324,"Tangerines, mandarins, clementines",A00ZX,Main-crop potatoes,01510,Potatoes,,,,,,
1234,"Tomatoes, average",A010C,Sweet potatoes,01530,Sweet potatoes,,,,,,
01234_gh,"Tomatoes, greenhouse",A00ZZ,Cassava roots,01599.1,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",,,,,,
01234_of,"Tomatoes, openfield",A010D,Yams,01599.1,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",,,,,,
1191,Triticale,A00QQ,Jerusalem artichokes,01599.1,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",,,,,,
01929.02,"True hemp, raw or retted",A011Z,Beans (fresh seeds without pods) and similar-,01701,"Beans, dry",,,,,,
01709.01,Vetches,A012G,Peas (without pods) and similar-,01242,"Peas, green",,,,,,
1376,"Walnuts, in shell",A012S,Beans (dry) and similar-,01701,"Beans, dry",,,,,,
1221,Watermelons,A0DCE,Lentils (dry) and similar-,01704,"Lentils, dry",,,,,,
111,"Wheat, average",A0DCD,Peas (dry) and similar-,01705,"Peas, dry",,,,,,
0111_s,"Wheat, spring",A013M,Chickpeas (dry),01703,"Chick peas, dry",,,,,,
0111_w,"Wheat, winter",A013H,Broad beans (dry),01702,"Broad beans and horse beans, dry",,,,,,
,,A013A,Lima beans (dry),01701,"Beans, dry",,,,,,
,,A013D,Mung beans (dry),01701,"Beans, dry",,,,,,
,,A00SR,Mung bean sprouts,,,,,?,,,
,,A013N,Black eyed peas (dry),01705,"Peas, dry",,,,,,
,,A015P,Soyabeans for oil,0141,Soya beans,,,,,,
,,A01HY,Carobs,01709.9,Other pulses n.e.c.,,,,,,
,,A013P,Pigeon peas (dry),01705,"Peas, dry",,,,,,
,,A010D,Yams,01599.1,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",,,,,,
,,A015H,Peanuts,0142,"Groundnuts, excluding shelled",,,,,,
,,A014F,Almonds sweet,01371,"Almonds, in shell",,,,,,
,,A014E,Bitter almonds,01371,"Almonds, in shell",,,,,,
,,A014G,Brazil nuts,01377,"Brazil nuts, in shell",,,,,,
,,A014H,Cashew nuts,,,,,?,,,
,,A014J,Chestnuts,01373,"Chestnuts, in shell",,,,,,
,,A014K,Coconuts,01460,"Coconut, in shell",,,,,,
,,A014L,Hazelnuts,01374,"Hazelnuts, in shell",,,,,,
,,A014M,Macadamias,,,,,?,,,
,,A014N,Pecans,,,,,?,,,
,,A01BV,Pine nut kernels,,,,,?,,,
,,A014Q,Pistachios,,,,,`?,,,
,,A014R,Walnuts,01376,"Walnuts, in shell",,,,,,
,,A015G,Linseeds,01441,Linseed,,,,,,
,,A015J,Poppy seeds,01448,Poppy seed,,,,,,
,,A015K,Sesame seeds,01449.9,"Other oil seeds, n.e.c.",,,,,,
,,A015L,Sunflower seeds,01445,Sunflower seed,,,,,,
,,A015S,Mustard seeds,01449.9,"Other oil seeds, n.e.c.",,,,,,
,,A015X,Pumpkin seeds,01449.9,"Other oil seeds, n.e.c.",,,,,,
,,A015Y,Safflower seeds,01449.9,"Other oil seeds, n.e.c.",,,,,,
,,A015Z,Borage seeds,01449.9,"Other oil seeds, n.e.c.",,,,,,
,,A016B,Hemp seeds,01449.9,"Other oil seeds, n.e.c.",,,,,,
,,A016D,Other oilseeds (including elsewhere non-listed seeds),01449.9,"Other oil seeds, n.e.c.",,,,,,
,,A01CY,Grapefruits,01321,Pomelos and grapefruits,,,,,,
,,A0DZB,Oranges,01323,Oranges,,,,,,
,,A0DZB,Oranges,01323,Oranges,,,,,,
,,A01BY,Lemons,01322,Lemons and limes,,,,,,
,,A01BY,Lemons,01322,Lemons and limes,,,,,,
,,A01CA,Limes,01322,Lemons and limes,,,,,,
,,A01CB,Mandarins and similar-,01324,"Tangerines, mandarins, clementines",,,,,,
,,A01DB,Pomelos,01321,Pomelos and grapefruits,,,,,,
,,A01DJ,Apples,01341,Apples,,,,,,
,,A01DP,Pears,01342.01,Pears,,,,,,
,,A01DR,Quinces,01342.02,Quinces,,,,,,
,,A01DM,Medlars,01359.9,"Other fruits, n.e.c.",,,,,,
,,A01DL,Loquats,01359.9,"Other fruits, n.e.c.",,,,,,
,,A01GD,Sorb fruits,01341,Apples,,,,,,
,,A01DQ,Nashi pears,01342.01,Pears,,,,,,
,,A01GF,Apricots,01343,Apricots,,,,,,
,,A01GQ,Plums,01346,Plums and sloes,,,,,,
,,A01GR,Damsons,01346,Plums and sloes,,,,,,
,,A01GS,Mirabelles,01346,Plums and sloes,,,,,,
,,A01GX,Gages,01346,Plums and sloes,,,,,,
,,A01GK,Cherries (sweet),01344.02,Cherries,,,,,,
,,A01GH,Sour cherries,01344.01,Sour cherries,,,,,,
,,A01GL,Peaches and similar-,01345,Peaches and nectarines,,,,,,
,,A01DX,Table grapes,01330,Grapes,,,,,,
,,A01DY,Wine grapes,01330,Grapes,,,,,,
,,A01EA,Strawberries,01354,Strawberries,,,,,,
,,A01EE,Blackberries,01353.01,Raspberries,,,,,,
,,A01EP,Raspberries (red and yellow),01353.01,Raspberries,,,,,,
,,A01EY,Blueberries,01355.01,Blueberries,,,,,,
,,A01FH,Cranberries,01355.01,Blueberries,,,,,,
,,A01FM,"Currants (black, red and white)",01351.01,Currants,,,,,,
,,A0CFN,"Gooseberries (green, red and yellow)",01351.02,Gooseberries,,,,,,
,,A0CFR,Rose hips,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A01FS,Mulberries (black and white),01315,Figs,,,,,,
,,A01FV,Azaroles,01341,Apples,,,,,,
,,A01FX,Elderberries,01351.01,Currants,,,,,,
,,A01EM,Cloudberries,01353.01,Raspberries,,,,,,
,,A01EJ,Loganberries,01353.01,Raspberries,,,,,,
,,A01FE,Bilberries,01355.01,Blueberries,,,,,,
,,A01FK,Cowberries,01355.01,Blueberries,,,,,,
,,A00JG,Ground cherries (physalis etc.),01234,Tomatoes,,,,,,
,,A01FZ,Sea buckthorns,01351.01,Currants,,,,,,
,,A016M,Olives for oil production,01450,Olives,,,,,,
,,A01HF,Dates,01314,Dates,,,,,,
,,A01HG,Figs,01315,Figs,,,,,,
,,A01BP,Table olives,01450,Olives,,,,,,
,,A0DRT,Kumquats,01322,Lemons and limes,,,,,,
,,A01HM,Carambolas,01359.9,"Other fruits, n.e.c.",,,,,,
,,A01HQ,Kaki,01234,Tomatoes,,,,,,
,,A01JT,"Kiwi fruits (green, red, yellow)",01352,Kiwi fruit,,,,,,
,,A01JV,Litchis,01359.9,"Other fruits, n.e.c.",,,,,,
,,A01KC,Passionfruits,01359.9,"Other fruits, n.e.c.",,,,,,
,,A01KD,Prickly pears,01359.9,"Other fruits, n.e.c.",,,,,,
,,A01KF,American persimmons,01234,Tomatoes,,,,,,
,,A01LB,Avocados,01311,Avocados,,,,,,
,,A01LC,Cavendishes,01312,Bananas,,,,,,
,,A01LF,Mangoes,01316,"Mangoes, guavas and mangosteens",,,,,,
,,A01LF,Mangoes,01316,"Mangoes, guavas and mangosteens",,,,,,
,,A01LG,Papayas,01317,Papayas,,,,,,
,,A01LH,Granate apples,01359.9,"Other fruits, n.e.c.",,,,,,
,,A01LK,Wild sweetsops,01359.9,"Other fruits, n.e.c.",,,,,,
,,A0CGD,Guavas,01316,"Mangoes, guavas and mangosteens",,,,,,
,,A01LP,Pineapples,01318,Pineapples,,,,,,
,,A01LP,Pineapples,01318,Pineapples,,,,,,
,,A01LQ,Breadfruits,01315,Figs,,,,,,
,,A01LG,Papayas,01317,Papayas,,,,,,
,,A00JZ,Chayote fruits,01235,"Pumpkins, squash and gourds",,,,,,
,,A01KQ,Longans,01359.9,"Other fruits, n.e.c.",,,,,,
,,A01QV,Bovine muscle,21111.01,"meat of cattle with the bone, fresh or chilled",,,,,,
,,A01TX,Bovine fat tissue,21512,"cattle fat, unrendered",,,,,,
,,A01XF,Bovine liver,21189.01,liver preparations,,,,,,
,,A01YJ,Bovine kidney,21151,"edible offal of cattle, fresh, chilled or frozen",,,,,,
,,A01ZM,Bovine edible offals (other than liver and kidney),21151,"edible offal of cattle, fresh, chilled or frozen",,,,,,
,,A01ZM,Bovine edible offals (other than liver and kidney),21151,"edible offal of cattle, fresh, chilled or frozen",,,,,,
,,A020R,Bovine other slaughtering products,,,,,,,?,
,,A020R,Bovine other slaughtering products,,,,,,,?,
,,A020R,Bovine other slaughtering products,,,,,,,?,
,,A020R,Bovine other slaughtering products,,,,,,,?,
,,A020R,Bovine other slaughtering products,,,,,,,?,
,,A020R,Bovine other slaughtering products,,,,,,,?,
,,A01QY,Calf fresh meat,21111.01,"meat of cattle with the bone, fresh or chilled",,,,,,
,,A01TX,Bovine fat tissue,21512,"cattle fat, unrendered",,,,,,
,,A01XF,Bovine liver,21189.01,liver preparations,,,,,,
,,A01YJ,Bovine kidney,21151,"edible offal of cattle, fresh, chilled or frozen",,,,,,
,,A01ZM,Bovine edible offals (other than liver and kidney),21151,"edible offal of cattle, fresh, chilled or frozen",,,,,,
,,A01RG,Pig muscle,21113.01,"meat of pig with the bone, fresh or chilled",,,,,,
,,A01VA,Pig fat tissue,21511.01,fat of pigs,,,,,,
,,A01XJ,Pig liver,21153,"edible offal of pigs, fresh, chilled or frozen",,,,,,
,,A01YM,Pig kidney,21153,"edible offal of pigs, fresh, chilled or frozen",,,,,,
,,A021A,Pig other slaughtering products,,,,,,,,
,,A021A,Pig other slaughtering products,,,,,,,,
,,A021A,Pig other slaughtering products,,,,,,,,
,,A021A,Pig other slaughtering products,,,,,,,,
,,A021A,Pig other slaughtering products,,,,,,,,
,,A01RH,Sheep muscle,21115,"meat of sheep, fresh or chilled",,,,,,
,,A01XK,Sheep liver,21155,"edible offal of sheep, fresh, chilled or frozen",,,,,,
,,A01YN,Sheep kidney,21155,"edible offal of sheep, fresh, chilled or frozen",,,,,,
,,A021H,Sheep other slaughtering products,21155,"edible offal of sheep, fresh, chilled or frozen",,,,,,
,,A01RL,Goat muscle,21116,"meat of goat, fresh or chilled",,,,,,
,,A01RM,Equine muscle,21118.01,"horse meat, fresh or chilled",,,,,,
,,A01RQ,Rabbit fresh meat,21114,"meat of rabbits and hares, fresh or chilled",,,,,,
,,A01SP,Chicken fresh meat,21121,"meat of chickens, fresh or chilled",,,,,,
,,A01VR,"Chicken, fresh fat tissue",21160.01,"edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen",,,,,,
,,A01XZ,Chicken liver,21189.02,fatty liver preparations,,,,,,
,,A022B,"Chicken, other slaughtering products",,,,,,,,
,,A01SQ,Turkey fresh meat,21124,"meat of turkeys, fresh or chilled",,,,,,
,,A01VS,"Turkey, fresh fat tissue",21511.03,fat of poultry,,,,,,
,,A01YA,Turkey liver,21160.04,"edible offals and liver of turkey,fresh, chilled or frozen",,,,,,
,,A01SR,Duck fresh meat,21122,"meat of ducks, fresh or chilled",,,,,,
,,A01VT,"Duck, fresh fat tissue",21511.03,fat of poultry,,,,,,
,,A01YB,Duck liver,21160.03,"edible offals and liver of ducks, fresh, chilled or frozen",,,,,,
,,A01SS,Goose fresh meat,21123,"meat of geese, fresh or chilled",,,,,,
,,A01VV,"Goose, fresh fat tissue",21511.03,fat of poultry,,,,,,
,,A01YC,Goose liver,21160.02,"edible offals and liver of geese, fresh, chilled or frozen",,,,,,
,,A01TA,Pigeon fresh meat,21170.01,"meat of pigeons and other birds n.e.c., fresh, chilled or frozen",,,,,,
,,A01SX,Guinea-fowl fresh meat,21121,"meat of chickens, fresh or chilled",,,,,,
,,A01ST,Ratites fresh meat,21170.02,"game meat, fresh, chilled or frozen",,,,,,
,,A01SH,Wild boar fresh meat,21170.02,"game meat, fresh, chilled or frozen",,,,,,
,,A01SC,"Deer, red fresh meat",21170.02,"game meat, fresh, chilled or frozen",,,,,,
,,A01SE,European moose meat,21170.02,"game meat, fresh, chilled or frozen",,,,,,
,,A01SF,Reindeer meat,21170.02,"game meat, fresh, chilled or frozen",,,,,,
,,A01XT,Deer liver,21170.02,"game meat, fresh, chilled or frozen",,,,,,
,,A01SJ,Hare fresh meat,21114,"meat of rabbits and hares, fresh or chilled",,,,,,
,,A01SZ,Pheasant fresh meat,21170.02,"game meat, fresh, chilled or frozen",,,,,,
,,A01TG,Mallard fresh meat,21170.02,"game meat, fresh, chilled or frozen",,,,,,
,,A01SY,Partridge fresh meat,21170.02,"game meat, fresh, chilled or frozen",,,,,,
,,A01TB,Quail fresh meat,21170.02,"game meat, fresh, chilled or frozen",,,,,,
,,A01TK,Ptarmigan fresh meat,21170.02,"game meat, fresh, chilled or frozen",,,,,,
,,A02DE,Herrings,,,,,,,,
,,A02ES,Herring roe,,,,,,,,
,,A02DH,Sprat,,,,,,,,
,,A02DB,European sardine,,,,,,,,
,,A02DD,Anchovies,,,,,,,,
,,A029A,Shads,,,,,,,,
,,A029M,Char,,,,,,,,
,,A029B,Smelt,,,,,,,,
,,A029Q,Whitefishes or coregonus,,,,,,,,
,,A027N,Perch,,,,,,,,
,,A029T,Sea bass,,,,,,,,
,,A02CT,Mackerel,,,,,,,,
,,A02DR,Tuna and bonito (generic),,,,,,,,
,,A02AD,Mullets,,,,,,,,
,,A02CB,Hakes,,,,,,,,
,,A02AT,Flounders,,,,,,,,
,,A02AY,Halibut,,,,,,,,
,,A02BC,Plaice,,,,,,,,
,,A02BF,Sole,,,,,,,,
,,A027C,Carps,,,,,,,,
,,A026Y,Barbs,,,,,,,,
,,A027B,Freshwater bream - Europe,,,,,,,,
,,A028G,River eels,,,,,,,,
,,A02BJ,Anglerfish and monkfish,,,,,,,,
,,A02DJ,Sharks,,,,,,,,
,,A02DQ,Rays,,,,,,,,
,,A02FA,Sturgeon roe,,,,,,,,
,,A02DS,Bonito,,,,,,,,
,,A02DA,Sardines and sardine-type fishes,,,,,,,,
,,A07Y0,Swordfish,,,,,,,,
,,A02FF,Freshwater crabs,,,,,,,,
,,A02FP,Lobsters,,,,,,,,
,,A02FS,"Lobster, norway",,,,,,,,
,,A02FY,"Prawn, giant tiger",,,,,,,,
,,A02GA,White shrimp,,,,,,,,
,,A02FV,Spiny and rock lobsters,,,,,,,,
,,A02FG,Freshwater crayfishes,,,,,,,,
,,A02JH,Squids,,,,,,,,
,,A02JD,Octopuses,,,,,,,,
,,A02JA,Cuttlefishes,,,,,,,,
,,A02HA,Clams,,,,,,,,
,,A02HE,Cockles,,,,,,,,
,,A02HF,Mussels,,,,,,,,
,,A02HG,Oysters,,,,,,,,
,,A02HN,"Scallops, pectens",,,,,,,,
,,A02GX,"Water snails, conches and whelks",,,,,,,,
,,A02GX,"Water snails, conches and whelks",,,,,,,,
,,A02KR,Frogs (legs),,,,,,,,
,,A02LK,Snails,,,,,,,,
,,A02LV,Cow milk,02211,raw milk of cattle,,,,,,
,,A02LV,Cow milk,02211,raw milk of cattle,,,,,,
,,A02MC,Sheep milk,02291,raw milk of sheep,,,,,,
,,A02MD,Water buffalo milk,02212,raw milk of buffalo,,,,,,
,,A02MB,Goat milk,02292,raw milk of goats,,,,,,
,,A02MG,Ass milk,,,,,,,,
,,A02MJ,Human milk,,,,,,,,
,,A031G,Hen eggs,0231,"hen eggs in shell, fresh",,,,,,
,,A031H,Duck eggs,0232,"eggs from other birds in shell, fresh, n.e.c.",,,,,,
,,A031J,Geese eggs,0232,"eggs from other birds in shell, fresh, n.e.c.",,,,,,
,,A031K,Quail eggs,0232,"eggs from other birds in shell, fresh, n.e.c.",,,,,,
,,A033J,Honey,,,,,,,,
,,A03DK,Drinking water,,,,,,,,
,,A03DL,Tap water,,,,,,,,
,,A03DP,Well water,,,,,,,,
,,A04PX,Bottled water,,,,,,,,
,,A04PX,Bottled water,,,,,,,,
,,A04PX,Bottled water,,,,,,,,
,,A03DK,Drinking water,,,,,,,,
,,A00XB,Chervil,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",,,,,,
,,A00XD,Chives,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A00XH,Dill leaves,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A00XA,Celery leaves,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A00YE,Parsley,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A00YH,Sage,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A00YF,Rosemary,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A00YQ,Thyme,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A00VV,Basil,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A00VX,Laurel,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A00YP,Tarragon,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A018R,Allspice fruit,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A017Y,Anise seed,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",,,,,,
,,A0CZD,Black caraway seed,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",,,,,,
,,A01AM,Capers buds,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A018T,Caraway fruit,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",,,,,,
,,A018V,Cardamom fruit,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A019V,Cinnamon bark,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A01AL,Cloves buds,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A018D,Coriander seed,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",,,,,,
,,A018E,Cumin seed,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",,,,,,
,,A018F,Dill seed,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A018G,Fennel seed,01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",,,,,,
,,A018H,Fenugreek seed,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A01AB,Ginger roots,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A018X,Juniper berry,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A01AV,Mace aril,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A018J,Nutmeg seed,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A018Z,"Peppercorn (black, green and white)",01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A01AR,Saffron,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A019J,Tamarind,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A01AC,Turmeric roots,01699,"Other stimulant, spice and aromatic crops, n.e.c.",,,,,,
,,A042P,Salt,,,,,,,,?
