Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2744,Eggs,2018,2018,kg,12.23,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2744,Eggs,2019,2019,kg,13.59,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2744,Eggs,2020,2020,kg,14.04,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2744,Eggs,2021,2021,kg,13.84,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2848,Milk - Excluding Butter,2017,2017,kg,192.11,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2848,Milk - Excluding Butter,2018,2018,kg,188.33,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2848,Milk - Excluding Butter,2019,2019,kg,251.52,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2848,Milk - Excluding Butter,2020,2020,kg,253.82,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2848,Milk - Excluding Butter,2021,2021,kg,271.03,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2761,Freshwater Fish,2017,2017,kg,4.13,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2761,Freshwater Fish,2018,2018,kg,4.2,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2761,Freshwater Fish,2019,2019,kg,4.34,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2761,Freshwater Fish,2020,2020,kg,4.34,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2761,Freshwater Fish,2021,2021,kg,4.33,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2762,Demersal Fish,2017,2017,kg,12.93,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2762,Demersal Fish,2018,2018,kg,12.75,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2762,Demersal Fish,2019,2019,kg,11.99,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2762,Demersal Fish,2020,2020,kg,11.98,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2762,Demersal Fish,2021,2021,kg,11.97,E,Estimated value
FBS,Food Balances (2010-),250,France,645,Food supply quantity (kg/capita/yr),S2763,Pelagic Fish,2017,2017,kg,7.62,E,Estimated value
