SUA Code,SUA Name,Category,Producer Country,Share,Waste,Organic
01231,"chillies and peppers, green (capsicum spp. and pimenta spp.)",Spices,RoW,0.159,0.07,0
01652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,NL,0.51,0.07,0
01652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,ES,0.331,0.07,0
01652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,RoW,0.159,0.07,0
01640,Cocoa beans,Stimulants,GH,0.371,0.07,0
01640,Cocoa beans,Stimulants,CI,0.378,0.07,0
01640,Cocoa beans,Stimulants,RoW,0.251,0.07,0
01460,"Coconut, in shell",Nuts,IN,0.256,0.06,0
01460,"Coconut, in shell",Nuts,PH,0.626,0.06,0
01460,"Coconut, in shell",Nuts,RoW,0.118,0.06,0
01610,"Coffee, green",Stimulants,BR,0.329,0.07,0
01610,"Coffee, green",Stimulants,CO,0.119,0.07,0
01610,"Coffee, green",Stimulants,ID,0.137,0.07,0
01610,"Coffee, green",Stimulants,RoW,0.415,0.07,0
01355.02,Cranberries,Berries,CA,0.171,0.07,0
01355.02,Cranberries,Berries,CL,0.508,0.07,0
01355.02,Cranberries,Berries,US,0.304,0.07,0
01355.02,Cranberries,Berries,RoW,0.017,0.07,0
01232,"Cucumbers and gherkins, averrage",Vegetables,IE,0.223,0.07,0
01232,"Cucumbers and gherkins, averrage",Vegetables,NL,0.41,0.07,0
01232,"Cucumbers and gherkins, averrage",Vegetables,ES,0.274,0.07,0
01232,"Cucumbers and gherkins, averrage",Vegetables,RoW,0.093,0.07,0
01351.01,Currants,Berries,IE,0.766,0.07,0
01351.01,Currants,Berries,GB,0.107,0.07,0
01351.01,Currants,Berries,RoW,0.127,0.07,0
01314,Dates,Fruits,IR,0.222,0.07,0
01314,Dates,Fruits,TN,0.413,0.07,0
01314,Dates,Fruits,RoW,0.365,0.07,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,CN,0.406,0.24,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,TG,0.189,0.24,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,RoW,0.405,0.24,0
01233,Eggplants (aubergines),Vegetables,NL,0.538,0.07,0
01233,Eggplants (aubergines),Vegetables,ES,0.401,0.07,0
01233,Eggplants (aubergines),Vegetables,RoW,0.061,0.07,0
0232,"eggs from other birds in shell, fresh, n.e.c.",Dairy,GB,0.882,0.017,0
0232,"eggs from other birds in shell, fresh, n.e.c.",Dairy,RoW,0.118,0.017,0
01315,Figs,Fruits,ES,0.148,0.07,0
01315,Figs,Fruits,TR,0.754,0.07,0
01315,Figs,Fruits,RoW,0.098,0.07,0
01193,Fonio,Cereals,GN,0.674,0.045,0
01193,Fonio,Cereals,ML,0.308,0.045,0
01193,Fonio,Cereals,RoW,0.017,0.045,0
21170.02,"game meat, fresh, chilled or frozen",Meat,RoW,1,0.057,0
01351.02,Gooseberries,Berries,RoW,1,0.07,0
01330,Grapes,Fruits,CL,0.134,0.07,0
01330,Grapes,Fruits,FR,0.13,0.07,0
01330,Grapes,Fruits,IT,0.138,0.07,0
01330,Grapes,Fruits,ES,0.129,0.07,0
01330,Grapes,Fruits,TR,0.19,0.07,0
01330,Grapes,Fruits,RoW,0.278,0.07,0
01290.01,Green corn (maize),Vegetables,FR,0.444,0.07,0
01290.01,Green corn (maize),Vegetables,HU,0.366,0.07,0
01290.01,Green corn (maize),Vegetables,RoW,0.19,0.07,0
01252,Green garlic,Vegetables,ES,0.376,0.07,0
01252,Green garlic,Vegetables,RoW,0.624,0.07,0
0142,"Groundnuts, excluding shelled",Nuts,US,0.792,0.06,0
0142,"Groundnuts, excluding shelled",Nuts,RoW,0.208,0.06,0
01374,"Hazelnuts, in shell",Nuts,GE,0.185,0.06,0
01374,"Hazelnuts, in shell",Nuts,TR,0.643,0.06,0
01374,"Hazelnuts, in shell",Nuts,RoW,0.172,0.06,0
0231,"hen eggs in shell, fresh",Dairy,IE,0.881,0.017,0
0231,"hen eggs in shell, fresh",Dairy,RoW,0.119,0.017,0
21118.01,"horse meat, fresh or chilled",Meat,IE,0.988,0.057,0
21118.01,"horse meat, fresh or chilled",Meat,RoW,0.012,0.057,0
01352,Kiwi fruit,Fruits,CL,0.211,0.07,0
01352,Kiwi fruit,Fruits,IT,0.49,0.07,0
01352,Kiwi fruit,Fruits,NZ,0.187,0.07,0
01352,Kiwi fruit,Fruits,RoW,0.112,0.07,0
01379.02,Kola nuts,Nuts,CM,0.236,0.06,0
01379.02,Kola nuts,Nuts,GH,0.101,0.06,0
01379.02,Kola nuts,Nuts,CI,0.649,0.06,0
01379.02,Kola nuts,Nuts,RoW,0.014,0.06,0
