SUA Code,SUA Name,Category,Producer Country,Share,Waste,Organic
0114,Sorghum,Cereals,UA,0.397,0.045,0
0114,Sorghum,Cereals,US,0.157,0.045,0
0114,Sorghum,Cereals,RoW,0.096,0.045,0
01344.01,Sour cherries,Fruits,RoW,1,0.07,0
0141,Soya beans,Pulses,AR,0.189,0.06,0
0141,Soya beans,Pulses,BR,0.464,0.06,0
0141,Soya beans,Pulses,PY,0.107,0.06,0
0141,Soya beans,Pulses,US,0.194,0.06,0
0141,Soya beans,Pulses,RoW,0.046,0.06,0
01215,Spinach,Vegetables,ES,0.987,0.07,0
01215,Spinach,Vegetables,RoW,0.013,0.07,0
01354,Strawberries,Fruits,ES,0.982,0.07,0
01354,Strawberries,Fruits,RoW,0.018,0.07,0
01801,Sugar beet,Sugar crops,FR,0.229,0.045,0
01801,Sugar beet,Sugar crops,ES,0.409,0.045,0
01801,Sugar beet,Sugar crops,GB,0.11,0.045,0
01801,Sugar beet,Sugar crops,RoW,0.253,0.045,0
01445,Sunflower seed,Oil crops,RU,0.123,0.06,0
01445,Sunflower seed,Oil crops,ES,0.508,0.06,0
01445,Sunflower seed,Oil crops,UA,0.155,0.06,0
01445,Sunflower seed,Oil crops,RoW,0.213,0.06,0
01530,Sweet potatoes,Roots,ES,0.948,0.24,0
01530,Sweet potatoes,Roots,RoW,0.052,0.24,0
01324,"Tangerines, mandarins, clementines",Fruits,ES,0.998,0.07,0
01324,"Tangerines, mandarins, clementines",Fruits,RoW,0.002,0.07,0
01234,"Tomatoes, average",Vegetables,ES,0.902,0.07,0
01234,"Tomatoes, average",Vegetables,RoW,0.098,0.07,0
01191,Triticale,Cereals,ES,0.942,0.045,0
01191,Triticale,Cereals,RoW,0.058,0.045,0
01929.02,"True hemp, raw or retted",Other,ES,0.882,0.06,0
01929.02,"True hemp, raw or retted",Other,RoW,0.118,0.06,0
01376,"Walnuts, in shell",Nuts,FR,0.115,0.06,0
01376,"Walnuts, in shell",Nuts,ES,0.392,0.06,0
01376,"Walnuts, in shell",Nuts,US,0.346,0.06,0
01376,"Walnuts, in shell",Nuts,RoW,0.147,0.06,0
01221,Watermelons,Fruits,ES,0.979,0.07,0
01221,Watermelons,Fruits,RoW,0.021,0.07,0
01709.01,Vetches,Other,ES,1,0.06,0
0111,"Wheat, average","Cereals, incl feed",FR,0.125,0.045,0
0111,"Wheat, average","Cereals, incl feed",ES,0.653,0.045,0
0111,"Wheat, average","Cereals, incl feed",RoW,0.222,0.045,0
01319,"Other tropical fruits, n.e.c.",Fruits,ES,0.973,0.07,0
01319,"Other tropical fruits, n.e.c.",Fruits,RoW,0.027,0.07,0
01379.90,Nuts nes,Nuts,RoW,1,0.06,0
01620,Tea leaves,Stimulants,LK,0.13,0.07,0
01620,Tea leaves,Stimulants,IN,0.149,0.07,0
01620,Tea leaves,Stimulants,KE,0.2,0.07,0
01620,Tea leaves,Stimulants,RoW,0.521,0.07,0
01655,"Cinnamon and cinnamon-tree flowers, raw",Spices,LK,0.351,0.07,0
01655,"Cinnamon and cinnamon-tree flowers, raw",Spices,ID,0.431,0.07,0
01655,"Cinnamon and cinnamon-tree flowers, raw",Spices,MG,0.207,0.07,0
01655,"Cinnamon and cinnamon-tree flowers, raw",Spices,RoW,0.012,0.07,0
01656,"Cloves (whole stems), raw",Spices,KM,0.201,0.07,0
01656,"Cloves (whole stems), raw",Spices,ID,0.308,0.07,0
01656,"Cloves (whole stems), raw",Spices,MG,0.458,0.07,0
01656,"Cloves (whole stems), raw",Spices,RoW,0.033,0.07,0
01657,"Ginger, raw",Spices,RoW,1,0.07,0
01658,Water buffalo milk,Dairy,FR,0.113,0.017,0
01658,Water buffalo milk,Dairy,ES,0.68,0.017,0
01658,Water buffalo milk,Dairy,RoW,0.207,0.017,0
02212,"Vanilla, raw",Spices,MG,0.881,0.07,0
02212,"Vanilla, raw",Spices,RoW,0.119,0.07,0
02292,Goat milk,Dairy,ES,1,0.017,0
21113.02,Pig meat,Meat,ES,0.952,0.057,0
21113.02,Pig meat,Meat,RoW,0.048,0.057,0
21170.01,Pigeon fresh meat,Meat,FR,0.56,0.057,0
21170.01,Pigeon fresh meat,Meat,NZ,0.158,0.057,0
21170.01,Pigeon fresh meat,Meat,RoW,0.282,0.057,0
21170.92,"Other meat n.e.c, fresh, chilled or frozen",Meat,FR,0.56,0.057,0
21170.92,"Other meat n.e.c, fresh, chilled or frozen",Meat,NZ,0.158,0.057,0
21170.92,"Other meat n.e.c, fresh, chilled or frozen",Meat,RoW,0.282,0.057,0
A02DE,Herrings,Fish,RoW,1,0.02,0
A02ES,Herring roe,Fish,RoW,1,0.02,0
A02DH,Sprat,Fish,RoW,1,0.02,0
A02DB,European sardine,Fish,RoW,1,0.02,0
A02DD,Anchovies,Fish,RoW,1,0.02,0
A029M,Char,Fish,RoW,1,0.02,0
A029B,Smelt,Fish,RoW,1,0.02,0
A029Q,Whitefishes or coregonus,Fish,RoW,1,0.02,0
A027N,Perch,Fish,RoW,1,0.02,0
A029T,Sea bass,Fish,RoW,1,0.02,0
A02CT,Mackerel,Fish,RoW,1,0.02,0
A02DR,Tuna and bonito (generic),Fish,RoW,1,0.02,0
A02AD,Mullets,Fish,RoW,1,0.02,0
A02CB,Hakes,Fish,RoW,1,0.02,0
A02AT,Flounders,Fish,RoW,1,0.02,0
A02AY,Halibut,Fish,RoW,1,0.02,0
A02BC,Plaice,Fish,RoW,1,0.02,0
A02BF,Sole,Fish,RoW,1,0.02,0
A027C,Carps,Fish,RoW,1,0.02,0
A027B,Freshwater bream - Europe,Fish,RoW,1,0.02,0
A028G,River eels,Fish,RoW,1,0.02,0
A02BJ,Anglerfish and monkfish,Fish,RoW,1,0.02,0
A02DJ,Sharks,Fish,RoW,1,0.02,0
A02DQ,Rays,Fish,RoW,1,0.02,0
A02FA,Sturgeon roe,Fish,RoW,1,0.02,0
A02DS,Bonito,Fish,RoW,1,0.02,0
A02DA,Sardines and sardine-type fishes,Fish,RoW,1,0.02,0
A07Y0,Swordfish,Fish,RoW,1,0.02,0
A02FF,Freshwater crabs,Fish,RoW,1,0.02,0
A02FP,Lobsters,Fish,RoW,1,0.02,0
A02FS,"Lobster, norway",Fish,RoW,1,0.02,0
A02FY,"Prawn, giant tiger",Fish,RoW,1,0.02,0
A02GA,White shrimp,Fish,RoW,1,0.02,0
A02FV,Spiny and rock lobsters,Fish,RoW,1,0.02,0
A02FG,Freshwater crayfishes,Fish,RoW,1,0.02,0
A02JH,Squids,Fish,RoW,1,0.02,0
A02JD,Octopuses,Fish,RoW,1,0.02,0
A02JA,Cuttlefishes,Fish,RoW,1,0.02,0
A02HA,Clams,Fish,RoW,1,0.02,0
A02HE,Cockles,Fish,RoW,1,0.02,0
A02HF,Mussels,Fish,RoW,1,0.02,0
A02HG,Oysters,Fish,RoW,1,0.02,0
A02HN,"Scallops, pectens",Fish,RoW,1,0.02,0
A02GX,"Water snails, conches and whelks",Fish,RoW,1,0.02,0
A02GX,"Water snails, conches and whelks",Fish,RoW,1,0.02,0
A02KR,Frogs (legs),Fish,RoW,1,0.02,0
A02LK,Snails,Fish,RoW,1,0.02,0
A0C75,Salmons,Fish,RoW,1,0.02,0
A029F,Trouts,Fish,RoW,1,0.02,0
A027J,Catfishes (freshwater),Fish,RoW,1,0.02,0
A029Z,Wolffish,Fish,RoW,1,0.02,0
A02BV,Cod,Fish,RoW,1,0.02,0
A02EL,Cod liver,Fish,RoW,1,0.02,0
A02EP,Cod roe,Fish,RoW,1,0.02,0
A02CG,Whiting,Fish,RoW,1,0.02,0
A02CA,Haddock,Fish,RoW,1,0.02,0
A0F7F,Lumpfish roe,Fish,RoW,1,0.02,0
01802,Sugar cane,Sugar crops,ES,1,0.045,0
01491.01,Oil palm fruit,"Oil crops, tree",MY,0.3,0.06,0
01491.01,Oil palm fruit,"Oil crops, tree",ID,0.7,0.06,0
