SUA Code,SUA Name,Category,Producer Country,Share,Waste,Organic
01379.02,Kola nuts,Nuts,RoW,0.052,0.06,0
01254,Leeks and other alliaceous vegetables,Vegetables,FR,0.832,0.07,0
01254,Leeks and other alliaceous vegetables,Vegetables,BE,0.118,0.07,0
01254,Leeks and other alliaceous vegetables,Vegetables,RoW,0.05,0.07,0
01322,Lemons and limes,Fruits,AR,0.136,0.07,0
01322,Lemons and limes,Fruits,ES,0.697,0.07,0
01322,Lemons and limes,Fruits,RoW,0.167,0.07,0
01704,"Lentils, dry (organic)",Pulses,CA,0.266,0.06,0
01704,"Lentils, dry (organic)",Pulses,CN,0.237,0.06,0
01704,"Lentils, dry (organic)",Pulses,FR,0.431,0.06,0
01704,"Lentils, dry (organic)",Pulses,RoW,0.067,0.06,0
01214,Lettuce and chicory,Vegetables,FR,0.719,0.07,0
01214,Lettuce and chicory,Vegetables,ES,0.208,0.07,0
01214,Lettuce and chicory,Vegetables,RoW,0.073,0.07,0
01441,Linseed,Seeds,CA,0.281,0.06,0
01441,Linseed,Seeds,FR,0.113,0.06,0
01441,Linseed,Seeds,KZ,0.128,0.06,0
01441,Linseed,Seeds,RU,0.337,0.06,0
01441,Linseed,Seeds,RoW,0.141,0.06,0
01709.02,Lupins,Pulses,FR,0.931,0.06,0
01709.02,Lupins,Pulses,RoW,0.069,0.06,0
0112,Maize (corn),"Cereals, incl feed",FR,0.961,0.045,0
0112,Maize (corn),"Cereals, incl feed",RoW,0.039,0.045,0
01316,"Mangoes, guavas and mangosteens",Fruits,BR,0.335,0.07,0
01316,"Mangoes, guavas and mangosteens",Fruits,IL,0.118,0.07,0
01316,"Mangoes, guavas and mangosteens",Fruits,CI,0.107,0.07,0
01316,"Mangoes, guavas and mangosteens",Fruits,PE,0.236,0.07,0
01316,"Mangoes, guavas and mangosteens",Fruits,RoW,0.204,0.07,0
01630,Maté leaves,Stimulants,AR,0.43,0.07,0
01630,Maté leaves,Stimulants,BR,0.544,0.07,0
01630,Maté leaves,Stimulants,RoW,0.026,0.07,0
21118.02,"meat of asses, fresh or chilled",Meat,RoW,1,0.057,0
21111.02,"meat of cattle with the bone, fresh or chilled",Meat,FR,0.82,0.057,0
21111.02,"meat of cattle with the bone, fresh or chilled",Meat,RoW,0.18,0.057,0
21121,"meat of chickens, fresh or chilled",Meat,FR,0.761,0.057,0
21121,"meat of chickens, fresh or chilled",Meat,RoW,0.239,0.057,0
21122,"meat of ducks, fresh or chilled",Meat,FR,0.959,0.057,0
21122,"meat of ducks, fresh or chilled",Meat,RoW,0.041,0.057,0
21123,"meat of geese, fresh or chilled",Meat,FR,0.585,0.057,0
21123,"meat of geese, fresh or chilled",Meat,HU,0.235,0.057,0
21123,"meat of geese, fresh or chilled",Meat,PL,0.177,0.057,0
21123,"meat of geese, fresh or chilled",Meat,RoW,0.003,0.057,0
21116,"meat of goat, fresh or chilled",Meat,FR,0.942,0.057,0
21116,"meat of goat, fresh or chilled",Meat,RoW,0.058,0.057,0
21114,"meat of rabbits and hares, fresh or chilled",Meat,FR,0.962,0.057,0
21114,"meat of rabbits and hares, fresh or chilled",Meat,RoW,0.038,0.057,0
21115,"meat of sheep, fresh or chilled",Meat,FR,0.522,0.057,0
21115,"meat of sheep, fresh or chilled",Meat,NZ,0.115,0.057,0
21115,"meat of sheep, fresh or chilled",Meat,GB,0.17,0.057,0
21115,"meat of sheep, fresh or chilled",Meat,RoW,0.193,0.057,0
21124,"meat of turkeys, fresh or chilled",Meat,FR,0.913,0.057,0
21124,"meat of turkeys, fresh or chilled",Meat,RoW,0.087,0.057,0
0118,Millet,Cereals,FR,0.949,0.045,0
0118,Millet,Cereals,RoW,0.051,0.045,0
01199.02,Mixed grain,Cereals,FR,0.91,0.045,0
01199.02,Mixed grain,Cereals,RoW,0.09,0.045,0
01270,Mushrooms and truffles,Mushrooms,FR,0.481,0.07,0
01270,Mushrooms and truffles,Mushrooms,NL,0.234,0.07,0
01270,Mushrooms and truffles,Mushrooms,ES,0.115,0.07,0
01270,Mushrooms and truffles,Mushrooms,RoW,0.17,0.07,0
01442,Mustard seed,Seeds,CA,0.412,0.06,0
01442,Mustard seed,Seeds,FR,0.311,0.06,0
01442,Mustard seed,Seeds,RoW,0.277,0.06,0
02910,natural honey,Other,FR,0.293,0.06,0
02910,natural honey,Other,RoW,0.707,0.06,0
01653,"nutmeg, mace, cardamoms, raw",Spices,GT,0.184,0.07,0
01653,"nutmeg, mace, cardamoms, raw",Spices,ID,0.663,0.07,0
01653,"nutmeg, mace, cardamoms, raw",Spices,RoW,0.153,0.07,0
0117,Oats,"Cereals, incl feed",FR,0.931,0.045,0
0117,Oats,"Cereals, incl feed",RoW,0.069,0.045,0
01491.02,Oil palm seeds,"Oil crops, tree",FR,0.275,0.06,0
01491.02,Oil palm seeds,"Oil crops, tree",RoW,0.725,0.06,0
01450,Olives,"Oil crops, tree",IT,0.126,0.06,0
01450,Olives,"Oil crops, tree",ES,0.55,0.06,0
