"Food code (level 2)","Food name (level 2)","Country ","Country code","Retail waste","Consumer waste"
"A.14","Alcoholic beverages","Italy","IT",0.01,0.04
"A.14.01","Beer and beer-like beverage","Italy","IT",0.01,0.04
"A.14.02","Wine","Italy","IT",0.01,0.04
"A.14.03","Fortified and liqueur wines (e.g. Vermouth, Sherry, Madeira)","Italy","IT",0.01,0.04
"A.14.04","Wine-like drinks (e.g. Cider, Perry)","Italy","IT",0.01,0.04
"A.14.05","Liqueur","Italy","IT",0.01,0.04
"A.14.06","Spirits","Italy","IT",0.01,0.04
"A.14.07","Alcoholic mixed drinks","Italy","IT",0.01,0.04
"A.15","Drinking water (water without any additives except carbon dioxide; includes water ice for consumption)","Italy","IT",0,0
"A.15.01","Tap water","Italy","IT",0,0
"A.15.02","Well water","Italy","IT",0,0
"A.15.03","Bottled water","Italy","IT",0,0
"A.15.04","Water ice (for consumption)","Italy","IT",0,0
"A.16","Herbs, spices and condiments","Italy","IT",0.01,0.04
"A.16.01","Herbs","Italy","IT",0.01,0.04
"A.16.02","Spices","Italy","IT",0.01,0.04
"A.16.03","Herb and spice mixtures","Italy","IT",0.01,0.04
"A.16.04","Seasoning or extracts","Italy","IT",0.01,0.04
"A.16.05","Condiment","Italy","IT",0.01,0.04
"A.16.06","Dressing","Italy","IT",0.01,0.04
"A.16.07","Chutney and pickles","Italy","IT",0.01,0.04
"A.16.08","Savoury sauces","Italy","IT",0.01,0.04
"A.16.09","Flavourings or essences","Italy","IT",0.01,0.04
"A.16.10","Baking ingredients","Italy","IT",0.01,0.04
"A.17","Food for infants and small children","Italy","IT",0.04,0.11
"A.17.01","Infant formulae, powder","Italy","IT",0.04,0.11
"A.17.02","Infant formulae, liquid","Italy","IT",0.04,0.11
"A.17.03","Follow-on formulae, powder","Italy","IT",0.04,0.11
"A.17.04","Follow-on formulae, liquid","Italy","IT",0.04,0.11
"A.17.05","Cereal-based food for infants and young children","Italy","IT",0.04,0.11
"A.17.06","Ready-to-eat meal for infants and young children","Italy","IT",0.04,0.11
"A.17.07","Yoghurt, cheese and milk-based dessert for infants and young children","Italy","IT",0.005,0.07
"A.17.08","Fruit juice and herbal tea for infants and young children","Italy","IT",0.01,0.04
"A.18","Products for special nutritional use","Italy","IT",0.04,0.11
"A.18.01","Food for weight reduction","Italy","IT",0.04,0.11
"A.18.02","Dietary supplements","Italy","IT",0.04,0.11
"A.18.03","Food for sports people (labelled as such)","Italy","IT",0.04,0.11
"A.18.04","Dietetic food for diabetics (labelled as such)","Italy","IT",0.04,0.11
"A.18.05","Medical food (are specially formulated and intended for the dietary management of a disease that has distinctive nutritional needs that cannot be met by normal diet alone; intended to be used under medical supervision)","Italy","IT",0.04,0.11
"A.19","Composite food (including frozen products)","Italy","IT",0.04,0.11
"A.19.01","Cereal-based dishes","Italy","IT",0.04,0.11
"A.19.02","Rice-based meals","Italy","IT",0.04,0.11
"A.19.03","Potato based dishes","Italy","IT",0.04,0.11
"A.19.04","Beans-based meals","Italy","IT",0.04,0.11
"A.19.05","Meat-based meals","Italy","IT",0.04,0.11
"A.19.06","Fish and seafood based meals","Italy","IT",0.04,0.11
"A.19.07","Vegetable-based meals","Italy","IT",0.04,0.11
"A.19.08","Egg-based meal (e.g., omelette)","Italy","IT",0.04,0.11
"A.19.09","Mushroom-based meals","Italy","IT",0.04,0.11
"A.19.10","Ready to eat soups","Italy","IT",0.04,0.11
"A.19.11","Prepared salads","Italy","IT",0.04,0.11
"A.20","Snacks, desserts, and other foods","Italy","IT",0.04,0.11
"A.20.01","Snack food","Italy","IT",0.04,0.11
"A.20.02","Ices and desserts","Italy","IT",0.04,0.11
"A.20.03","Other foods (foods which cannot be included in any other group)","Italy","IT",0.04,0.11
"A.13.06","Energy drink","Italy","IT",0.01,0.04
