SUA Code,SUA Name,Producer Country Name,Producer Country Code,Share,Waste
"01359.90","Other fruits, n.e.c.","Spain","ES",0.164,0.07
"01359.90","Other fruits, n.e.c.","Rest of World","RoW",0.695,0.07
"01449.90","Other oil seeds, n.e.c.","India","IN",0.108,0.06
"01449.90","Other oil seeds, n.e.c.","Malaysia","MY",0.141,0.06
"01449.90","Other oil seeds, n.e.c.","Ethiopia","ET",0.109,0.06
"01449.90","Other oil seeds, n.e.c.","Rest of World","RoW",0.642,0.06
"01709.90","Other pulses n.e.c.","Ireland","IE",0.854,0.06
"01709.90","Other pulses n.e.c.","Rest of World","RoW",0.146,0.06
"01699","Other stimulant, spice and aromatic crops, n.e.c.","India","IN",0.608,0.07
"01699","Other stimulant, spice and aromatic crops, n.e.c.","Turkey","TR",0.105,0.07
"01699","Other stimulant, spice and aromatic crops, n.e.c.","Rest of World","RoW",0.287,0.07
"01290.90","Other vegetables, fresh n.e.c.","Ireland","IE",0.133,0.07
"01290.90","Other vegetables, fresh n.e.c.","Rest of World","RoW",0.867,0.07
"01317","Papayas","Brazil","BR",0.693,0.07
"01317","Papayas","Ecuador","EC",0.165,0.07
"01317","Papayas","Rest of World","RoW",0.142,0.07
"01345","Peaches and nectarines","Italy","IT",0.224,0.07
"01345","Peaches and nectarines","Spain","ES",0.692,0.07
"01345","Peaches and nectarines","Rest of World","RoW",0.084,0.07
"01342.01","Pears","Netherlands","NL",0.189,0.07
"01342.01","Pears","Poland","PL",0.284,0.07
"01342.01","Pears","South Africa","ZA",0.28,0.07
"01342.01","Pears","Rest of World","RoW",0.248,0.07
"01705","Peas, dry","Canada","CA",0.765,0.06
"01705","Peas, dry","Ireland","IE",0.124,0.06
"01705","Peas, dry","Rest of World","RoW",0.11,0.06
"01242","Peas, green","Ireland","IE",0.616,0.07
"01242","Peas, green","United Kingdom","GB",0.246,0.07
"01242","Peas, green","Rest of World","RoW",0.137,0.07
"01651","Pepper (Piper spp.), raw","Brazil","BR",0.184,0.07
"01651","Pepper (Piper spp.), raw","India","IN",0.223,0.07
"01651","Pepper (Piper spp.), raw","Indonesia","ID",0.303,0.07
"01651","Pepper (Piper spp.), raw","Rest of World","RoW",0.29,0.07
"01359.01","Persimmons","Israel","IL",0.438,0.07
"01359.01","Persimmons","Spain","ES",0.558,0.07
"01359.01","Persimmons","Rest of World","RoW",0.005,0.07
"21181","pig meat, cuts, salted, dried or smoked (bacon and ham)","Ireland","IE",0.708,0.057
