RPC Code,RPC Name,Producer Country Name,Producer Country Code,Share,Waste,SUA Code
"A.16.02.030","Tamarind","Turkey","TR",0.11,0.07,01699
"A.16.02.030","Tamarind","Rest of World","RoW",0.255,0.07,01699
"A.16.02.031","Turmeric roots","India","IN",0.514,0.07,01699
"A.16.02.031","Turmeric roots","Spain","ES",0.122,0.07,01699
"A.16.02.031","Turmeric roots","Turkey","TR",0.11,0.07,01699
"A.16.02.031","Turmeric roots","Rest of World","RoW",0.255,0.07,01699
"A.16.09.003","Vanilla","India","IN",0.514,0.07,01699
"A.16.09.003","Vanilla","Spain","ES",0.122,0.07,01699
"A.16.09.003","Vanilla","Turkey","TR",0.11,0.07,01699
"A.16.09.003","Vanilla","Rest of World","RoW",0.255,0.07,01699
"I.01.02.010.006","Quinoa grain","Bolivia","BO",0.555,0.06,01194
"I.01.02.010.006","Quinoa grain","Peru","PE",0.421,0.06,01194
"I.01.02.010.006","Quinoa grain","Rest of World","RoW",0.024,0.06,01194
"I.07.01.006.001","Salmons","Rest of World","RoW",1,0.02,A0C75
"I.07.01.006.002","Trouts","Rest of World","RoW",1,0.02,A029F
"I.07.01.015.001","Catfishes (freshwater)","Rest of World","RoW",1,0.02,A027J
"I.07.01.015.002","Wolffish","Rest of World","RoW",1,0.02,A029Z
"I.07.01.017.001","Cod roe","Rest of World","RoW",1,0.02,A02BV
"I.07.01.017.001","Cod roe","Rest of World","RoW",1,0.02,A02EL
"I.07.01.017.001","Cod roe","Rest of World","RoW",1,0.02,A02EP
"I.07.01.017.002","seed","Rest of World","RoW",1,0.02,A02CG
"I.07.01.017.004","Haddock","Rest of World","RoW",1,0.02,A02CA
"I.07.03.001.003","Lumpfish roe","Rest of World","RoW",1,0.02,A0F7F
"I.16.01.012","Marjoram","India","IN",0.514,0.07,01699
"I.16.01.012","Marjoram","Spain","ES",0.122,0.07,01699
"I.16.01.012","Marjoram","Turkey","TR",0.11,0.07,01699
"I.16.01.012","Marjoram","Rest of World","RoW",0.255,0.07,01699
"I.16.01.013","Oregano","India","IN",0.514,0.07,01699
"I.16.01.013","Oregano","Spain","ES",0.122,0.07,01699
"I.16.01.013","Oregano","Turkey","TR",0.11,0.07,01699
"I.16.01.013","Oregano","Rest of World","RoW",0.255,0.07,01699
"I.16.01.014","Mints","India","IN",0.514,0.07,01699
"I.16.01.014","Mints","Spain","ES",0.122,0.07,01699
"I.16.01.014","Mints","Turkey","TR",0.11,0.07,01699
"I.16.01.014","Mints","Rest of World","RoW",0.255,0.07,01699
"I.16.01.015","Coriander leaves","India","IN",0.514,0.07,01699
"I.16.01.015","Coriander leaves","Spain","ES",0.122,0.07,01699
"I.16.01.015","Coriander leaves","Turkey","TR",0.11,0.07,01699
"I.16.01.015","Coriander leaves","Rest of World","RoW",0.255,0.07,01699
"I.16.01.016","Lovage leaves","India","IN",0.514,0.07,01699
"I.16.01.016","Lovage leaves","Spain","ES",0.122,0.07,01699
"I.16.01.016","Lovage leaves","Turkey","TR",0.11,0.07,01699
"I.16.01.016","Lovage leaves","Rest of World","RoW",0.255,0.07,01699
"I.16.01.017","Winter savory","India","IN",0.514,0.07,01699
"I.16.01.017","Winter savory","Spain","ES",0.122,0.07,01699
"I.16.01.017","Winter savory","Turkey","TR",0.11,0.07,01699
"I.16.01.017","Winter savory","Rest of World","RoW",0.255,0.07,01699
