no.csv,Code,Name,Category,Country_name,Country_code,Carbon_Footprint,Carbon_Dioxide,Methane_fossil,Methane_bio,Nitrous_Oxide,HFC,Land,N_input,P_input,Water,Pesticides,Biodiversity,Ammonia,Labour,Animal_Welfare,Antibiotics
61,1316,"Mangoes, guavas and mangosteens",Fruits,Cote d'Ivoire,CI,0.739255836,0.677575522,7.71E-04,0,1.42E-04,NA,18.00893243,7.66E-04,0,3.50E-02,5.55E-02,5.21E-09,4.66E-05,4.228137156,,
62,1702,"Broad beans and horse beans, dry","Pulses, incl feed",Czechia,CZ,0.27859598,0.173857059,1.82E-04,0,3.64E-04,NA,5.527365989,1.43E-02,2.02E-03,0.04,1.052455134,1.81E-10,6.14E-05,1.63E-02,,
63,1448,Poppy seed,Seeds,Czechia,CZ,1.574610164,0.764605976,1.03E-03,0,2.85E-03,NA,16.25487646,0.103916867,6.39E-02,6.40E-02,1.563981043,5.33E-10,6.32E-03,5.54E-02,,
64,1443,"Rape or colza seed, average",Oil crops,Czechia,CZ,1.156068288,0.487073909,7.88E-04,0,2.36E-03,NA,3.173434545,8.52E-02,9.27E-03,0,0.863683663,1.04E-10,5.18E-03,1.08E-02,,
65,115,"Barley, average","Cereals, incl feed",Denmark,DK,0.392521607,0.164612566,2.13E-04,0,8.12E-04,NA,1.755630306,2.05E-02,3.05E-03,0,0.361659843,7.88E-11,1.25E-03,2.81E-03,,
66,1702,"Broad beans and horse beans, dry","Pulses, incl feed",Denmark,DK,0.196845346,0.126648941,1.71E-04,0,2.38E-04,NA,2.811614781,7.76E-03,2.02E-03,0.114,0.308080808,1.26E-10,6.14E-05,3.86E-03,,
67,1351.01,Currants,Berries,Denmark,DK,0.614039679,0.499079355,3.52E-04,0,3.83E-04,NA,5.45553737,8.00E-03,1.10E-02,0.128,0.314453125,2.45E-10,4.86E-04,0.411974905,,
68,112,Maize (corn),"Cereals, incl feed",Denmark,DK,0.377870781,0.160769671,2.21E-04,0,7.71E-04,NA,1.464544834,2.00E-02,5.60E-03,4.90E-02,1.66E-02,6.58E-11,1.21E-03,2.03E-03,,
69,117,Oats,"Cereals, incl feed",Denmark,DK,0.370083637,0.161695508,2.06E-04,0,7.41E-04,NA,2.048298888,1.81E-02,3.82E-03,0,0.114562118,9.20E-11,1.10E-03,3.11E-03,,
70,1705,"Peas, dry","Pulses, incl feed",Denmark,DK,0.17265327,0.112069572,1.38E-04,0,2.07E-04,NA,2.637993437,1.66E-02,1.69E-03,1.00E-03,0.195813639,1.18E-10,0,3.62E-03,,
71,116,Rye,"Cereals, incl feed",Denmark,DK,0.334926431,0.148059755,1.94E-04,0,6.63E-04,NA,1.670285619,1.59E-02,1.17E-03,0,0.157559504,7.50E-11,9.68E-04,2.67E-03,,
72,1344.01,Sour cherries,Fruits,Denmark,DK,0.714535535,0.417132302,3.87E-04,0,1.05E-03,NA,2.258733393,2.75E-02,3.57E-03,0.128,1.375568636,1.01E-10,1.67E-03,0.121409179,,
73,1215,Spinach,Vegetables,Denmark,DK,0.272581643,0.121013888,1.98E-04,0,5.34E-04,NA,0.770426709,1.27E-02,2.54E-03,3.60E-02,0.127120407,3.46E-11,7.72E-04,1.80E-03,,
74,111,"Wheat, average","Cereals, incl feed",Denmark,DK,0.423740268,0.166515716,2.23E-04,0,9.18E-04,NA,1.31149605,2.35E-02,2.15E-03,6.00E-03,0.118297742,5.89E-11,1.43E-03,2.04E-03,,
75,1312,Bananas,Fruits,Ecuador,EC,0.172704091,0.103910595,2.60E-04,0,2.24E-04,NA,0.257527397,7.73E-03,5.15E-04,5.00E-02,0.423117513,1.46E-09,4.70E-04,6.05E-02,,
76,1317,Papayas,Fruits,Ecuador,EC,0.236687497,0.167229605,2.78E-04,0,2.24E-04,NA,0.771063528,7.73E-03,5.15E-04,9.60E-02,0.423115552,4.39E-09,4.70E-04,0.181030295,,
77,1313,Plantains and cooking bananas,Fruits,Ecuador,EC,0.292933823,0.197615647,3.53E-04,0,3.11E-04,NA,1.555708361,1.24E-02,1.24E-02,0.189,0.423115552,8.85E-09,7.57E-04,0.365249209,,
78,117,Oats,"Cereals, incl feed",Finland,FI,0.355926044,0.176831963,2.15E-04,0,6.33E-04,NA,2.953947951,1.81E-02,3.82E-03,0,0.114562118,1.44E-11,1.10E-03,6.45E-03,,
79,1371,"Almonds, in shell",Nuts,France,FR,2.941213492,1.930495833,1.74E-03,0,3.51E-03,NA,10.915124,0.124432414,0,0.554,7.559427865,3.63E-09,7.56E-03,0.412679008,,
80,1341,Apples,Fruits,France,FR,0.143139461,7.92E-02,1.51E-04,0,2.18E-04,NA,0.302326706,2.17E-03,3.17E-04,2.90E-02,1.615341626,1.00E-10,1.32E-04,1.36E-02,,
81,1343,Apricots,Fruits,France,FR,0.236416761,0.137567923,2.22E-04,0,3.38E-04,NA,0.584723513,6.78E-03,9.92E-04,0.116,0.852164974,1.94E-10,4.12E-04,2.95E-02,,
82,1216,Artichokes,Vegetables,France,FR,0.156000094,9.76E-02,1.60E-04,0,1.97E-04,NA,1.496598232,1.33E-03,4.76E-04,5.50E-02,0.546258355,4.97E-10,8.08E-05,5.57E-02,,
83,1211,Asparagus,Vegetables,France,FR,0.305933001,0.168723172,2.53E-04,0,4.75E-04,NA,2.286310033,1.21E-02,2.42E-03,5.50E-02,4.71E-02,7.60E-10,7.34E-04,0.121906051,,
84,1311,Avocados,Vegetables,France,FR,0.28733796,0.132920386,2.51E-04,0,5.38E-04,NA,1.071414031,1.46E-02,8.25E-03,5.50E-02,1.100759639,3.56E-10,8.86E-04,2.59E-03,,
85,1312,Bananas,Fruits,France,FR,0.154378152,9.24E-02,1.54E-04,0,2.10E-04,NA,0.424976281,1.87E-03,0,2.30E-02,7.92E-02,1.41E-10,1.14E-04,2.06E-02,,
86,115,"Barley, average","Cereals, incl feed",France,FR,0.368820615,0.171286251,2.79E-04,0,6.93E-04,NA,1.596408719,2.05E-02,3.05E-03,4.00E-03,0.323659621,5.30E-10,1.25E-03,3.32E-03,,
87,1701,"Beans, dry",Pulses,France,FR,0.419520195,0.201610962,2.79E-04,0,7.68E-04,NA,4.143188598,2.70E-02,5.56E-03,4.50E-02,1.052455134,1.38E-09,1.01E-03,9.76E-03,,
88,1355.01,Blueberries,Berries,France,FR,0.624196762,0.365650915,4.32E-04,0,9.00E-04,NA,2.74500923,2.84E-02,3.55E-03,0.116,5.47E-02,9.12E-10,1.73E-03,0.42970649,,
89,1702,"Broad beans and horse beans, dry","Pulses, incl feed",France,FR,0.242399488,0.13843119,1.62E-04,0,3.63E-04,NA,4.107552145,1.09E-02,2.02E-03,4.50E-02,1.052455134,1.36E-09,6.14E-05,8.54E-03,,
90,1243,"Broad beans and horse beans, green",Vegetables,France,FR,0.158639159,0.102482018,1.58E-04,0,1.88E-04,NA,1.680508455,5.04E-03,2.02E-03,4.50E-02,0.430587291,5.58E-10,6.14E-05,3.49E-03,,
91,1192,Buckwheat,Seeds,France,FR,0.13383811,0.116166375,1.52E-04,0,4.82E-05,NA,2.842039448,0,0,6.70E-02,0.686784599,9.44E-10,0,5.01E-03,,
92,1212,Cabbages,Vegetables,France,FR,0.166124197,7.48E-02,1.76E-04,0,3.15E-04,NA,0.408061666,5.97E-03,4.77E-04,5.50E-02,0.141846598,1.36E-10,3.63E-04,1.01E-02,,
93,1229,Cantaloupes and other melons,Fruits,France,FR,0.228661061,0.129132818,2.19E-04,0,3.41E-04,NA,0.510768011,6.90E-03,2.50E-03,0.116,2.91E-02,1.70E-10,4.19E-04,1.58E-02,,
94,1251,Carrots and turnips,Vegetables,France,FR,7.62E-02,5.02E-02,1.39E-04,0,7.98E-05,NA,0.230969392,1.33E-03,4.76E-04,5.50E-02,0.619652841,7.67E-11,8.08E-05,3.15E-03,,
95,1213,"Cauliflowers and broccoli, average",Vegetables,France,FR,0.290393156,0.124711681,2.56E-04,0,5.79E-04,NA,0.687657646,1.62E-02,1.85E-03,5.50E-02,1.79E-02,2.28E-10,9.82E-04,2.60E-02,,
96,1199.9,Cereals n.e.c.,Cereals,France,FR,0.472305072,0.227367179,3.54E-04,0,8.59E-04,NA,3.058908459,2.69E-02,9.18E-03,6.70E-02,0.271031327,1.02E-09,1.64E-03,7.19E-03,,
97,1344.02,Cherries,Berries,France,FR,0.605982206,0.347802886,4.24E-04,0,8.99E-04,NA,2.522386177,2.84E-02,3.55E-03,0.116,4.712387164,8.38E-10,1.73E-03,0.205022071,,
98,1373,"Chestnuts, in shell",Nuts,France,FR,4.077658632,2.302672106,2.53E-03,0,6.23E-03,NA,10.63309444,0.229376258,0,0.554,2.091343739,3.53E-09,1.39E-02,9.23E-02,,
99,1232,"Cucumbers and gherkins, averrage",Vegetables,France,FR,9.230565313,8.527391562,1.88E-02,0,5.25E-04,NA,0.113749984,3.18E-03,1.54E-03,5.50E-02,1.82E-03,4.41E-11,1.94E-04,5.29E-03,,
100,1351.01,Currants,Berries,France,FR,0.379450367,0.269608598,2.73E-04,0,3.73E-04,NA,2.531427675,8.00E-03,1.10E-02,0.116,0.314453125,8.41E-10,4.86E-04,0.28907132,,
101,1599.1,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,France,FR,0.13935715,0.101198315,1.59E-04,0,1.22E-04,NA,1.58823436,2.94E-03,1.19E-03,0,0.162962963,5.28E-10,1.79E-04,1.98E-02,,
102,1233,Eggplants (aubergines),Vegetables,France,FR,0.108424023,5.10E-02,1.39E-04,0,1.95E-04,NA,0.250554352,1.33E-03,4.76E-04,5.50E-02,2.51E-04,8.32E-11,8.08E-05,1.17E-02,,
103,1315,Figs,Fruits,France,FR,0.300998993,0.213812389,2.45E-04,0,2.93E-04,NA,1.27789648,4.94E-03,8.21E-03,0.116,0.903703704,4.25E-10,3.00E-04,4.30E-02,,
104,1330,Grapes,Fruits,France,FR,0.267282627,0.203800705,2.00E-04,0,2.11E-04,NA,1.360881198,1.77E-03,1.22E-03,1.30E-02,4.341578738,4.52E-10,1.08E-04,6.85E-02,,
105,1290.01,Green corn (maize),Vegetables,France,FR,0.313646984,0.125655112,2.86E-04,0,6.57E-04,NA,0.50048998,2.00E-02,5.60E-03,9.10E-02,4.63E-02,1.66E-10,1.21E-03,1.05E-03,,
106,1252,Green garlic,Vegetables,France,FR,0.548569905,0.242440585,4.42E-04,0,1.07E-03,NA,1.397182721,3.97E-02,1.21E-02,5.50E-02,0.163722837,4.64E-10,2.42E-03,3.72E-02,,
107,1374,"Hazelnuts, in shell",Nuts,France,FR,3.401029596,1.639658721,2.23E-03,0,6.21E-03,NA,5.1198034,0.229376258,0,0.554,2.091343739,1.70E-09,1.39E-02,3.17E-02,,
108,1352,Kiwi fruit,Fruits,France,FR,0.245095568,0.152333555,2.23E-04,0,3.15E-04,NA,0.736086493,5.89E-03,9.79E-03,0.116,0.719728627,2.45E-10,3.58E-04,2.92E-02,,
109,1254,Leeks and other alliaceous vegetables,Vegetables,France,FR,0.149184643,7.81E-02,1.87E-04,0,2.40E-04,NA,0.334650518,7.53E-03,1.51E-03,5.50E-02,0.119936892,1.11E-10,4.57E-04,3.37E-02,,
110,1322,Lemons and limes,Fruits,France,FR,0.432040892,0.224646497,3.45E-04,0,7.22E-04,NA,0.831357474,2.16E-02,6.24E-03,0.116,0.406336054,2.76E-10,1.31E-03,3.40E-02,,
111,1704,"Lentils, dry",Pulses,France,FR,0.328916631,0.230222153,2.01E-04,0,3.40E-04,NA,7.762167197,4.89E-02,0,6.10E-02,1.4670496,2.58E-09,0,1.61E-02,,
112,1214,Lettuce and chicory,Vegetables,France,FR,0.170566487,7.47E-02,1.80E-04,0,3.32E-04,NA,0.339765548,6.60E-03,1.33E-03,5.50E-02,1.758667644,1.13E-10,4.01E-04,1.26E-02,,
113,1441,Linseed,Seeds,France,FR,0.248474668,0.194550108,2.93E-04,0,1.66E-04,NA,5.201722811,0,0,0.558,0.686627411,1.73E-09,0,1.25E-02,,
