"FoodEx2 Code","Long Code ","FoodEx2 Name","SUA code","SUA name","Type",,,,,
"A00HC","A.02.02.002","Onions","01253.01","onions and shallots, green","Crop",,,,,
"A00HF","A.02.02.003","Shallots","01253.01","onions and shallots, green","Crop",,,,,
"A00HH","A.02.02.004","Spring onions","01253.01","onions and shallots, green","Crop",,,,,
"A00XD","A.02.02.005","Chives","01253.01","onions and shallots, green","Crop",,,,,
"A0DMX","A.02.03.001","Tomatoes","01234","tomatoes","Crop",,,,,
"A00JA","A.02.03.002","Sweet peppers","01231","chillies and peppers, green (capsicum spp. and pimenta spp.)","Crop",,,,,
"A00JB","A.02.03.003","Chili peppers","01231","chillies and peppers, green (capsicum spp. and pimenta spp.)","Crop",,,,,
"A00JD","A.02.03.004","Aubergines","01233","eggplants (aubergines)","Crop",,,,,
"A00JF","A.02.03.005","Okra","01359.9","Other fruits, n.e.c.","Crop",,,,,
"A00JM","A.02.03.006","Cucumbers","01232","cucumbers and gherkins","Crop",,,,,
"A00JP","A.02.03.007","Gherkins","01232","cucumbers and gherkins","Crop",,,,,
"A00JR","A.02.03.008","Courgettes","01235","pumpkins, squash and gourds","Crop",,,,,
"A00KF","A.02.03.009","Melons","01229","cantaloupes and other melons ","Crop",,,,,
"A00KH","A.02.03.010","Pumpkins","01235","pumpkins, squash and gourds","Crop",,,,,
"A00KJ","A.02.03.011","Watermelons","01221","watermelons","Crop",,,,,
"A00KP","A.02.03.012","Sweet corn","01290.01","green corn (maize) ","Crop",,,,,
"A00FN","A.02.04.001","Broccoli","01213","cauliflowers and broccoli","Crop",,,,,
"A00FR","A.02.04.002","Cauliflowers","01213","cauliflowers and broccoli","Crop",,,,,
"A00FV","A.02.04.003","Brussels sprouts","01212","cabbages","Crop",,,,,
"A00FY","A.02.04.004","Head cabbages","01212","cabbages","Crop",,,,,
"A00GG","A.02.04.005","Chinese cabbages","01212","cabbages","Crop",,,,,
"A00GL","A.02.04.006","Kales and similar-","01212","cabbages","Crop",,,,,
"A00GV","A.02.04.007","Kohlrabies","01212","cabbages","Crop",,,,,
"A00KT","A.02.05.001","Lamb's lettuces","01214","lettuce and chicory","Crop",,,,,
"A00KY","A.02.05.002","Head lettuces","01214","lettuce and chicory","Crop",,,,,
"A00KZ","A.02.05.003","Crisp lettuces","01214","lettuce and chicory","Crop",,,,,
"A00LE","A.02.05.004","Escaroles","01214","lettuce and chicory","Crop",,,,,
"A00LK","A.02.05.005","Cresses","01212","cabbages","Crop",,,,,
"A00LL","A.02.05.006","Land cresses","01212","cabbages","Crop",,,,,
"A00LN","A.02.05.007","Roman rocket","01212","cabbages","Crop",,,,,
"A00MJ","A.02.05.010","Spinaches","01215","spinach","Crop",,,,,
"A00MP","A.02.05.012","Purslanes","01215","spinach","Crop",,,,,
"A00MX","A.02.05.013","Chards","1801","sugar beet","Crop",,,,,
"A00NB","A.02.05.014","Grape leaves","01359.9","Other fruits, n.e.c.","Crop",,"?",,,
"A00ND","A.02.05.015","Watercresses","01212","cabbages","Crop",,,,,
"A00NE","A.02.05.016","Witloofs","01214","lettuce and chicory","Crop",,"?",,,
"A00MV","A.02.05.017","Oraches leaves","01359.9","Other fruits, n.e.c.","Crop",,,,,
"A00MD","A.02.05.019","Dandelions","01445","sunflower seed","Crop",,,,,
"A00PA","A.02.05.020","Common nettle","01215","spinach","Crop",,,,,
"A00MT","A.02.05.021","Garden sorrel","01215","spinach","Crop",,,,,
"A00SH","A.02.05.022","Alfalfa sprouts","01709.90","other pulses n.e.c.","Crop",,,,,
"A00PC","A.02.06.001","Beans (with pods) and similar-","01701","beans, dry","Crop",,,,,
"A00PX","A.02.06.002","Peas (with pods) and similar-","01705","peas, dry","Crop",,,,,
"A00RT","A.02.07.001","Asparagus","01211","asparagus","Crop",,,,,
"A00RX","A.02.07.002","Cardoons","01445","sunflower seed","Crop",,,,,
"A00RY","A.02.07.003","Celeries","01251","carrots and turnips","Crop",,,,,
"A00SA","A.02.07.004","Florence fennels","01251","carrots and turnips","Crop",,,,,
"A00RS","A.02.07.005","Globe artichokes","01216","Artichokes","Crop",,,,,
"A00SB","A.02.07.006","Leeks","01254","leeks and other alliaceous vegetables","Crop",,,,,
"A00SD","A.02.07.007","Rhubarbs","1801","sugar beet","Crop",,,,,
"A00RV","A.02.07.008","Bamboo shoots","01359.9","Other fruits, n.e.c.","Crop",,,"?",,
"A00SC","A.02.07.009","Palm hearts","01359.9","Other fruits, n.e.c.","Crop",,,"?",,
"A010Z","A.02.08.003","Chicory roots","01599.1","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Crop",,,,,
"A00VG","A.02.09.001","Carrageen mosses","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,"?","sjögräs",
"A00VM","A.02.09.001.001","Kombu","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,"?",,
"A00VH","A.02.09.001.002","Laver","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,"?",,
"A00VC","A.02.09.001.003","Wakame","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,"?",,
"A04KK","A.02.10.001","Teas  and similar-","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A00XZ","A.02.10.004","Mints","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A03JL","A.02.10.009","Strawberry infusion leaves","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A03JV","A.02.10.013","Ginseng infusion roots","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A03GK","A.02.12.001","Coffee beans, green","01610","Coffee, green","Crop",,,,,
,"A.02.14.012","Hops (dried), including pellets and unconcentrated powder (Humulus lupulus)",,,"Crop",,,"Humle - dyker nog inte upp",,
"A00TQ","A.02.15.001","Common mushrooms","01270","Mushrooms and truffles","Crop",,,,,
,"A.02.15.002","Oyster mushroom (Pleurotus ostreatus)","01270","Mushrooms and truffles","Crop",,,,,
"A00TS","A.02.15.003","Shiitake","01270","Mushrooms and truffles","Crop",,,,,
"A00TL","A.02.16.002","Honey mushroom","01270","Mushrooms and truffles","Crop",,,,,
"A00TG","A.02.16.003","Ceps","01270","Mushrooms and truffles","Crop",,,,,
"A00TJ","A.02.16.004","Truffles","01270","Mushrooms and truffles","Crop",,,,,
"A00TK","A.02.16.005","Morels","01270","Mushrooms and truffles","Crop",,,,,
"A00TE","A.02.16.006","Chanterelles","01270","Mushrooms and truffles","Crop",,,,,
"A00TH","A.02.16.007","Saffron milk cap","01270","Mushrooms and truffles","Crop",,,,,
"A00ZV","A.03.01.001","New potatoes","01510","Potatoes","Crop",,,,,
"A00ZX","A.03.01.002","Main-crop potatoes","01510","Potatoes","Crop",,,,,
"A010C","A.03.02.001","Sweet potatoes","01530","Sweet potatoes","Crop",,,,,
"A00ZZ","A.03.02.002","Cassava roots","01599.1","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Crop",,,,,
"A010D","A.03.02.004","Yams","01599.1","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Crop",,,,,
"A00QQ","A.03.02.005","Jerusalem artichokes","01599.1","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Crop",,,,,
"A011Z","A.04.01.001","Beans (fresh seeds without pods) and similar-","01701","Beans, dry","Crop",,,,,
"A012G","A.04.01.002","Peas (without pods) and similar-","01242","Peas, green","Crop",,,,,
"A012S","A.04.02.001","Beans (dry) and similar-","01701","Beans, dry","Crop",,,,,
"A0DCE","A.04.02.002","Lentils (dry) and similar-","01704","Lentils, dry","Crop",,,,,
"A0DCD","A.04.02.003","Peas (dry) and similar-","01705","Peas, dry","Crop",,,,,
"A013M","A.04.02.005","Chickpeas (dry)","01703","Chick peas, dry","Crop",,,,,
"A013H","A.04.02.007","Broad beans (dry)","01702","Broad beans and horse beans, dry","Crop",,,,,
"A013A","A.04.02.008","Lima beans (dry)","01701","Beans, dry","Crop",,,,,
"A013D","A.04.02.009","Mung beans (dry)","01701","Beans, dry","Crop",,,,,
"A00SR","A.04.02.009","Mung bean sprouts","01701","Beans, dry","Crop",,"?",,,
"A013N","A.04.02.011","Black eyed peas (dry)","01705","Peas, dry","Crop",,,,,
"A015P","A.04.02.012","Soyabeans for oil","0141","Soya beans","Crop",,,,,
"A01HY","A.04.02.014","Carobs","01709.9","Other pulses n.e.c.","Crop",,,,,
"A010D","A.04.02.020","Yams","01599.1","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Crop",,,,,
"A015H","A.04.02.021","Peanuts","0142","Groundnuts, excluding shelled","Crop",,,,,
"A014F","A.04.03.001","Almonds sweet","01371","Almonds, in shell","Crop",,,,,
"A014E","A.04.03.002","Bitter almonds","01371","Almonds, in shell","Crop",,,,,
"A014G","A.04.03.003","Brazil nuts","01377","Brazil nuts, in shell","Crop",,,,,
"A014H","A.04.03.004","Cashew nuts","01372","Cashew nuts, in shell","Crop",,,,,
"A014J","A.04.03.005","Chestnuts","01373","Chestnuts, in shell","Crop",,,,,
"A014K","A.04.03.006","Coconuts","01460","Coconut, in shell","Crop",,,,,
"A014L","A.04.03.007","Hazelnuts","01374","Hazelnuts, in shell","Crop",,,,,
"A014M","A.04.03.008","Macadamias","01371","Almonds, in shell","Crop",,"?",,,
"A014N","A.04.03.009","Pecans","01371","Almonds, in shell","Crop",,"?",,,
"A01BV","A.04.03.010","Pine nut kernels","01371","Almonds, in shell","Crop",,"?",,,
"A014Q","A.04.03.011","Pistachios","01371","Almonds, in shell","Crop",,"`?",,,
"A014R","A.04.03.012","Walnuts","01376","Walnuts, in shell","Crop",,,,,
"A015G","A.04.04.001","Linseeds","01441","Linseed","Crop",,,,,
"A015J","A.04.04.003","Poppy seeds","01448","Poppy seed","Crop",,,,,
"A015K","A.04.04.004","Sesame seeds","01449.9","Other oil seeds, n.e.c.","Crop",,,,,
"A015L","A.04.04.005","Sunflower seeds","01445","Sunflower seed","Crop",,,,,
,"A.04.04.006 ","Rape seed (Brassica napus)","01443","Rape and colza seed","Crop",,,,,
"A015S","A.04.04.007","Mustard seeds","01449.9","Other oil seeds, n.e.c.","Crop",,,,,
"A015X","A.04.04.009","Pumpkin seeds","01449.9","Other oil seeds, n.e.c.","Crop",,,,,
,"A.04.04.010","Safflower (Carthamus tinctorius)","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
,"A.04.04.011","Borage (Borago officinalis)","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A016B","A.04.04.013","Hemp seeds","01449.9","Other oil seeds, n.e.c.","Crop",,,,,
"A016D","A.04.05","Other oilseeds (including elsewhere non-listed seeds)","01449.9","Other oil seeds, n.e.c.","Crop",,,,,
"A01CY","A.05.01.001","Grapefruits","01321","Pomelos and grapefruits","Crop",,,,,
"A0DZB","A.05.01.002","Oranges","01323","Oranges","Crop",,,,,
"A01BY","A.05.01.003","Lemons","01322","Lemons and limes","Crop",,,,,
"A01CA","A.05.01.004","Limes","01322","Lemons and limes","Crop",,,,,
"A01CB","A.05.01.005","Mandarins and similar-","01324","Tangerines, mandarins, clementines","Crop",,,,,
,"A.05.01.006","Pomelo (Citrus grandis)","01321","Pomelos and grapefruits","Crop",,,,,
"A01DJ","A.05.02.001","Apples","01341","Apples","Crop",,,,,
"A01DP","A.05.02.002","Pears","01342.01","Pears","Crop",,,,,
"A01DR","A.05.02.003","Quinces","01342.02","Quinces","Crop",,,,,
"A01DM","A.05.02.004","Medlars","01359.9","Other fruits, n.e.c.","Crop",,,,,
"A01DL","A.05.02.005","Loquats","01359.9","Other fruits, n.e.c.","Crop",,,,,
"A01GD","A.05.02.007","Sorb fruits","01341","Apples","Crop",,,,,
"A01DQ","A.05.02.009","Nashi pears","01342.01","Pears","Crop",,,,,
"A01GF","A.05.03.001","Apricots","01343","Apricots","Crop",,,,,
"A01GQ","A.05.03.002","Plums","01346","Plums and sloes","Crop",,,,,
"A01GR","A.05.03.003","Damsons","01346","Plums and sloes","Crop",,,,,
"A01GS","A.05.03.004","Mirabelles","01346","Plums and sloes","Crop",,,,,
"A01GX","A.05.03.005","Gages","01346","Plums and sloes","Crop",,,,,
"A01GK","A.05.03.006","Cherries (sweet)","01344.02","Cherries","Crop",,,,,
"A01GH","A.05.03.007","Sour cherries","01344.01","Sour cherries","Crop",,,,,
"A01GL","A.05.03.011","Peaches and similar-","01345","Peaches and nectarines","Crop",,,,,
"A01DX","A.05.04.001","Table grapes","01330","Grapes","Crop",,,,,
"A01DY","A.05.04.002","Wine grapes","01330","Grapes","Crop",,,,,
"A01EA","A.05.04.003","Strawberries","01354","Strawberries","Crop",,,,,
"A01EE","A.05.04.004","Blackberries","01353.01","Raspberries","Crop",,,,,
"A01EP","A.05.04.006","Raspberries (red and yellow)","01353.01","Raspberries","Crop",,,,,
"A01EY","A.05.04.008","Blueberries","01355.01","Blueberries","Crop",,,,,
"A01FH","A.05.04.009","Cranberries","01355.01","Blueberries","Crop",,,,,
"A01FM","A.05.04.010","Currants (black, red and white)","01351.01","Currants","Crop",,,,,
"A0CFN","A.05.04.011","Gooseberries (green, red and yellow)","01351.02","Gooseberries","Crop",,,,,
"A0CFR","A.05.04.012","Rose hips","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A01FS","A.05.04.013","Mulberries (black and white)","01315","Figs","Crop",,,,,
,"A.05.04.014","Azarole (mediteranean medlar) (Crataegus azarolus)","01355.01","Blueberries","Crop",,,,,
"A01FX","A.05.04.015","Elderberries","01351.01","Currants","Crop",,,,,
"A01EM","A.05.04.016","Cloudberries","01353.01","Raspberries","Crop",,,,,
,"A.05.04.017","Loganberry (Rubus loganobaccus)","01355.01","Blueberries","Crop",,,,,
"A01FE","A.05.04.022","Bilberries","01355.01","Blueberries","Crop",,,,,
,"A.05.04.026","Lingonberry (Vaccinium vitis-idaea)","01355.01","Blueberries","Crop",,,,,
"A00JG","A.05.04.029","Ground cherries (physalis etc.)","01234","Tomatoes","Crop",,,,,
"A01FZ","A.05.04.030","Sea buckthorns","01351.01","Currants","Crop",,,,,
"A016M","A.05.05.001","Olives for oil production","01450","Olives","Crop",,,,,
,"A.05.05.002","Palm nuts (palmoil kernels)","01491.02","palm kernels [only calories]","Crop",,,,,
,"A.05.05.003","Palmfruit (Elaeis guineensis)","01491.01","oil palm fruit","Crop",,,,,
"A01HF","A.05.06.001","Dates","01314","Dates","Crop",,,,,
"A01HG","A.05.06.002","Figs","01315","Figs","Crop",,,,,
"A01BP","A.05.06.003","Table olives","01450","Olives","Crop",,,,,
"A0DRT","A.05.06.004","Kumquats","01322","Lemons and limes","Crop",,,,,
"A01HM","A.05.06.005","Carambolas","01359.9","Other fruits, n.e.c.","Crop",,,,,
"A01HQ","A.05.06.006","Kaki","01234","Tomatoes","Crop",,,,,
"A01JT","A.05.06.008","Kiwi fruits (green, red, yellow)","01352","Kiwi fruit","Crop",,,,,
"A01JV","A.05.06.009","Litchis","01359.9","Other fruits, n.e.c.","Crop",,,,,
"A01KC","A.05.06.010","Passionfruits","01359.9","Other fruits, n.e.c.","Crop",,,,,
"A01KD","A.05.06.011","Prickly pears","01359.9","Other fruits, n.e.c.","Crop",,,,,
"A01KF","A.05.06.013","American persimmons","01234","Tomatoes","Crop",,,,,
"A01LB","A.05.06.014","Avocados","01311","Avocados","Crop",,,,,
,"A.05.06.015","Bananas (Musa × paradisica)","01312","bananas","Crop",,,,,
"A01LF","A.05.06.016","Mangoes","01316","Mangoes, guavas and mangosteens","Crop",,,,,
"A01LG","A.05.06.017","Papayas","01317","Papayas","Crop",,,,,
"A01LH","A.05.06.018","Granate apples","01359.9","Other fruits, n.e.c.","Crop",,,,,
"A01LK","A.05.06.019","Wild sweetsops","01359.9","Other fruits, n.e.c.","Crop",,,,,
"A0CGD","A.05.06.020","Guavas","01316","Mangoes, guavas and mangosteens","Crop",,,,,
"A01LP","A.05.06.021","Pineapples","01318","Pineapples","Crop",,,,,
,"A.05.06.022","Bread fruit (jackfruit) (Artocarpus altilis)","01359.9","Other fruits, n.e.c.","Crop",,,,,
"A01LG","A.05.06.029","Papayas","01317","Papayas","Crop",,,,,
,"A.05.06.030","Chayote (Sechium edule)","01359.9","Other fruits, n.e.c.","Crop",,,,,
"A01KQ","A.05.06.034","Longans","01359.9","Other fruits, n.e.c.","Crop",,,,,
"A03DK","A.15","Drinking water","0",0,"Crop",,,,,
"A03DL","A.15.01","Tap water","0",0,"Crop",,,,,
"A03DP","A.15.02","Well water","0",0,"Crop",,,,,
"A04PX","A.15.03","Bottled water","0",0,"Crop",,,,,
"A04PX","A.15.03.001","Bottled water","0",0,"Crop",,,,,
"A04PX","A.15.03.002","Bottled water","0",0,"Crop",,,,,
"A03DK","A.15.04","Drinking water","0",0,"Crop",,,,,
"A00XB","A.16.01.001","Chervil","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Crop",,,,,
"A00XD","A.16.01.002","Chives","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A00XH","A.16.01.003","Dill leaves","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A00XA","A.16.01.004","Celery leaves","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A00YE","A.16.01.005","Parsley","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A00YH","A.16.01.006","Sage","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A00YF","A.16.01.007","Rosemary","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A00YQ","A.16.01.008","Thyme","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A00VV","A.16.01.009","Basil","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A00VX","A.16.01.010","Laurel","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A00YP","A.16.01.011","Tarragon","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A018R","A.16.02.004","Allspice fruit","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A017Y","A.16.02.006","Anise seed","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Crop",,,,,
"A0CZD","A.16.02.008","Black caraway seed","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Crop",,,,,
"A01AM","A.16.02.009","Capers buds","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A018T","A.16.02.010","Caraway fruit","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Crop",,,,,
"A018V","A.16.02.011","Cardamom fruit","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A019V","A.16.02.014","Cinnamon bark","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A01AL","A.16.02.015","Cloves buds","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A018D","A.16.02.016","Coriander seed","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Crop",,,,,
"A018E","A.16.02.017","Cumin seed","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Crop",,,,,
,"A.16.02.018","Dill seed (Anethum graveolens)","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Crop",,,,,
"A018G","A.16.02.019","Fennel seed","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Crop",,,,,
"A018H","A.16.02.020","Fenugreek seed","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A01AB","A.16.02.022","Ginger roots","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A018X","A.16.02.024","Juniper berry","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A01AV","A.16.02.025","Mace aril","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A018J","A.16.02.027","Nutmeg seed","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A018Z","A.16.02.028","Peppercorn (black, green and white)","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A01AR","A.16.02.029","Saffron","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A019J","A.16.02.030","Tamarind","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A01AC","A.16.02.031","Turmeric roots","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A042P","A.16.04.001","Salt","0",0,"Crop",,,,,"?"
"A042Q","A.16.04.002","Salt, low sodium","0",0,"Crop",,,,,"?"
"A042R","A.16.04.003","Salt, iodised","0",0,"Crop",,,,,"?"
"A042T","A.16.04.005","Salt, iodised and fluoridated","0",0,"Crop",,,,,"?"
"A042X","A.16.04.007","Sea salt","0",0,"Crop",,,,,"?"
"A019H","A.16.09.003","Vanilla","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A048Z","A.16.10.001","Yeast cultures","0",0,"Crop",,,,,
"A000R","I.01.02.010.006","Quinoa grain","01194","Quinoa","Crop",,,,,
"A00XX","I.16.01.012","Marjoram","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A00XV","I.16.01.013","Oregano","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A00XZ","I.16.01.014","Mints","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A00XF","I.16.01.015","Coriander leaves","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A00XS","I.16.01.016","Lovage leaves","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A00YK","I.16.01.017","Winter savory","01699","Other stimulant, spice and aromatic crops, n.e.c.","Crop",,,,,
"A02DE","A.07.01.001","Herrings","A02DE","Herrings","Blue food",,,,,
"A02ES","A.07.01.001","Herring roe","A02ES","Herring roe","Blue food",,,,,
"A02DH","A.07.01.002","Sprat","A02DH","Sprat","Blue food",,,,,
"A02DB","A.07.01.003","European sardine","A02DB","European sardine","Blue food",,,,,
"A02DD","A.07.01.004","Anchovies","A02DD","Anchovies","Blue food",,,,,
"A029M","A.07.01.007","Char","A029M","Char","Blue food",,,,,
"A029B","A.07.01.008","Smelt","A029B","Smelt","Blue food",,,,,
"A029Q","A.07.01.009","Whitefishes or coregonus","A029Q","Whitefishes or coregonus","Blue food",,,,,
"A027N","A.07.01.010","Perch","A027N","Perch","Blue food",,,,,
"A029T","A.07.01.011","Sea bass","A029T","Sea bass","Blue food",,,,,
"A02CT","A.07.01.013","Mackerel","A02CT","Mackerel","Blue food",,,,,
"A02DR","A.07.01.014","Tuna and bonito (generic)","A02DR","Tuna and bonito (generic)","Blue food",,,,,
"A02AD","A.07.01.016","Mullets","A02AD","Mullets","Blue food",,,,,
"A02CB","A.07.01.018","Hakes","A02CB","Hakes","Blue food",,,,,
"A02AT","A.07.01.019","Flounders","A02AT","Flounders","Blue food",,,,,
"A02AY","A.07.01.020","Halibut","A02AY","Halibut","Blue food",,,,,
"A02BC","A.07.01.021","Plaice","A02BC","Plaice","Blue food",,,,,
"A02BF","A.07.01.022","Sole","A02BF","Sole","Blue food",,,,,
"A027C","A.07.01.024","Carps","A027C","Carps","Blue food",,,,,
"A027B","A.07.01.026","Freshwater bream - Europe","A027B","Freshwater bream - Europe","Blue food",,,,,
"A028G","A.07.01.027","River eels","A028G","River eels","Blue food",,,,,
"A02BJ","A.07.01.029","Anglerfish and monkfish","A02BJ","Anglerfish and monkfish","Blue food",,,,,
"A02DJ","A.07.01.030","Sharks","A02DJ","Sharks","Blue food",,,,,
"A02DQ","A.07.01.031","Rays","A02DQ","Rays","Blue food",,,,,
"A02FA","A.07.01.032","Sturgeon roe","A02FA","Sturgeon roe","Blue food",,,,,
"A02DS","A.07.01.033","Bonito","A02DS","Bonito","Blue food",,,,,
"A02DA","A.07.01.035","Sardines and sardine-type fishes","A02DA","Sardines and sardine-type fishes","Blue food",,,,,
"A07Y0","A.07.01.036","Swordfish","A07Y0","Swordfish","Blue food",,,,,
"A02FF","A.07.04.001","Freshwater crabs","A02FF","Freshwater crabs","Blue food",,,,,
"A02FP","A.07.04.002","Lobsters","A02FP","Lobsters","Blue food",,,,,
"A02FS","A.07.04.003","Lobster, norway","A02FS","Lobster, norway","Blue food",,,,,
"A02FY","A.07.04.004","Prawn, giant tiger","A02FY","Prawn, giant tiger","Blue food",,,,,
"A02GA","A.07.04.005","White shrimp","A02GA","White shrimp","Blue food",,,,,
"A02FV","A.07.04.006","Spiny and rock lobsters","A02FV","Spiny and rock lobsters","Blue food",,,,,
"A02FG","A.07.04.007","Freshwater crayfishes","A02FG","Freshwater crayfishes","Blue food",,,,,
"A02JH","A.07.05.001","Squids","A02JH","Squids","Blue food",,,,,
"A02JD","A.07.05.002","Octopuses","A02JD","Octopuses","Blue food",,,,,
"A02JA","A.07.05.003","Cuttlefishes","A02JA","Cuttlefishes","Blue food",,,,,
"A02HA","A.07.05.005","Clams","A02HA","Clams","Blue food",,,,,
"A02HE","A.07.05.006","Cockles","A02HE","Cockles","Blue food",,,,,
"A02HF","A.07.05.007","Mussels","A02HF","Mussels","Blue food",,,,,
"A02HG","A.07.05.008","Oysters","A02HG","Oysters","Blue food",,,,,
"A02HN","A.07.05.010","Scallops, pectens","A02HN","Scallops, pectens","Blue food",,,,,
"A02GX","A.07.05.013","Water snails, conches and whelks","A02GX","Water snails, conches and whelks","Blue food",,,,,
