Long Code,Name,Short Code,,,,,,,
"A.01.03.006.003","Rice flour, instant","A003F#F16.A07XZ",,,,"Rice flour#instantised","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.006.004","Rice starch","A003G",,,,"Rice starch","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.007","Spelt milling products","A003V",,,,"Wheat milling products and derivatives","Included in another FoodEx code",,
"A.01.03.007.001","Spelt flour, light","A004J",,,,"Spelt flour, light","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.007.002","Spelt flour, medium","A004K",,,,"Spelt flour, medium","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.007.003","Spelt flour, wholemeal","A004L",,,,"Spelt flour, wholemeal","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.008","Other milling products","A004T",,,,"Other cereals milling products and derivatives","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.008.001","Amaranth flour","A002E",,,,"Amaranth flour","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.008.002","Barley flour","A002L",,,,"Barley flour","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.008.003","Chapatti flour","A004D",,,,"Chapatti flour","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.008.004","Flour mix, wheat/rye/barley/oats","A004S",,,,"Flour mix, wheat/rye/barley/oats","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.008.005","Millet flour","A002T",,,,"Millet flour","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.008.006","Millet groats","A002V",,,,"Millet groats","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.03.008.007","Sorghum flour","A003T",,,,"Sorghum flour","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04","Bread and rolls","A004V",,,,"Bread and similar products","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.001","Wheat bread and rolls","A004X",,,,"Wheat bread and rolls","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.001.001","Wheat bread, white","A004Y",,,,"Wheat bread and rolls, white (refined flour)","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.001.002","Wheat bread, white, gluten free","A005S",,,,"Gluten free bread, white","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.001.003","Wheat bread, white, with oil seeds","A004Y#F04.A015F",,,,"Wheat bread and rolls, white (refined flour)#oilseeds","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.001.004","Wheat bread, brown","A005E",,,,"Wheat bread and rolls, brown or wholemeal","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.001.005","Wheat bread, brown, gluten free","A005T",,,,"Gluten free bread, brown","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.001.006","Wheat bread, brown, with oil seeds","A005E#F04.A015F",,,,"Wheat bread and rolls, brown or wholemeal#oilseeds","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.001.007","Wheat bread, with bran","A005E",,,,"Wheat bread and rolls, brown or wholemeal","Included in another FoodEx code",,
"A.01.04.001.008","Wheat bread, with oil seeds","A004X#F04.A015F",,,,"Wheat bread and rolls#oilseeds","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.001.009","Wheat germ bread","A004X#F04.A004Q",,,,"Wheat bread and rolls#wheat germ","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.001.010","Wheat rolls, white","A004Y",,,,"Wheat bread and rolls, white (refined flour)","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.001.011","Wheat rolls, white, gluten free","A005S",,,,"Gluten free bread, white","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.001.012","Wheat rolls, white, with oil seeds","A004Y#F04.A015F",,,,"Wheat bread and rolls, white (refined flour)#oilseeds","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.001.013","Wheat rolls, brown","A005E",,,,"Wheat bread and rolls, brown or wholemeal","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.001.014","Wheat rolls, brown, and oil seeds","A005E#F04.A015F",,,,"Wheat bread and rolls, brown or wholemeal#oilseeds","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.001.015","Wheat rolls, with oil seeds","A004X#F04.A015F",,,,"Wheat bread and rolls#oilseeds","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.001.016","Wheat toast bread, white","A004Y",,,,"Wheat bread and rolls, white (refined flour)","Included in another FoodEx code",,
"A.01.04.001.017","Wheat toast bread, brown","A005D",,,,"Wheat bread and rolls, brown or wholemeal","Included in another FoodEx code",,
"A.01.04.001.018","Wheat bread, gluten free","A005S",,,,"Gluten free bread, white","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.002","Rye bread and rolls","A005F",,,,"Rye only bread and rolls","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.002.001","Rye bread, light","A005G",,,,"Rye bread, refined flour","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.002.002","Rye bread, light, with oil seeds","A005G#F04.A015F",,,,"Rye bread, refined flour#oilseeds","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.002.003","Rye bread, wholemeal","A005H",,,,"Rye bread, wholemeal","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.002.004","Rye bread, wholemeal, with oil seeds","A005H#F04.A015F",,,,"Rye bread, wholemeal#oil seeds","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.002.005","Rye rolls, light","A005G",,,,"Rye bread, refined flour","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.002.006","Rye rolls, light, with oil seeds","A005G#F04.A015F",,,,"Rye bread, refined flour#oilseeds","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.002.007","Rye rolls, wholemeal","A005H",,,,"Rye bread, wholemeal","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.002.008","Rye rolls, wholemeal, with oil seeds","A005H#F04.A015F",,,,"Rye bread, wholemeal#oilseeds","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.002.009","Rye toast bread, light","A005G",,,,"Rye bread, refined flour","Included in another FoodEx code",,
"A.01.04.002.010","Rye toast bread, wholemeal","A005H",,,,"Rye bread, wholemeal","Included in another FoodEx code",,
"A.01.04.003","Mixed wheat and rye bread and rolls","A005N","A005P",,,,"No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.003.001","Rye-wheat bread, light","A005N",,,,"Rye-wheat bread, refined flour","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.003.002","Rye-wheat bread, wholemeal","A005P",,,,"Rye-wheat bread, wholemeal","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.003.003","Rye-wheat bread, with oilseeds","A005N#F04.A015F",,,,"Rye-wheat bread, refined flour#oilseeds","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.003.004","Rye-wheat toast bread, light","A005N",,,,"Rye-wheat bread, refined flour","Included in another FoodEx code",,
"A.01.04.003.005","Rye-wheat toast bread, wholemeal","A005P",,,,"Rye-wheat bread, wholemeal","Included in another FoodEx code",,
"A.01.04.003.006","Wheat-rye bread with oilseeds","A005N#F04.A015F",,,,"Rye-wheat bread, refined flour#oilseeds","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.003.007","Wheat-rye bread, light","A005N",,,,"Rye-wheat bread, refined flour","Included in another FoodEx code",,
"A.01.04.003.008","Wheat-rye bread, wholemeal","A005P",,,,"Rye-wheat bread, wholemeal","Included in another FoodEx code",,
"A.01.04.003.009","Wheat-rye toast bread, light","A005N",,,,"Rye-wheat bread, refined flour","Included in another FoodEx code",,
"A.01.04.003.010","Wheat-rye toast bread, wholemeal","A005P",,,,"Rye-wheat bread, wholemeal","Included in another FoodEx code",,
"A.01.04.004","Multigrain bread and rolls","A005Q",,,,"Multigrain (not only rye-wheat) bread and rolls","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.004.001","Multigrain bread","A005Q",,,,"Multigrain (not only rye-wheat) bread and rolls","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.004.002","Multigrain rolls","A005Q",,,,"Multigrain (not only rye-wheat) bread and rolls","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.004.003","Multigrain toast bread","A005Q",,,,"Multigrain (not only rye-wheat) bread and rolls","Included in another FoodEx code",,
"A.01.04.005","Unleavened bread, crisp bread and rusk","A04KZ","A006M",,,,"No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.005.001","Crisp bread, rye wholemeal","A006B",,,,"Crisp bread, rye wholemeal","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.005.002","Crisp bread, rye, light","A006C",,,,"Crisp bread, rye, refined flour","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.005.003","Crisp bread, wheat, wholemeal","A006E",,,,"Crisp bread, wheat, wholemeal","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.005.004","Crisp bread, wheat, light","A006F",,,,"Crisp bread, wheat, refined flour","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.005.005","Rusk, light","A006N",,,,"Rusk, refined flour","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.005.006","Rusk, wholemeal","A006P",,,,"Rusk, wholemeal","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.005.007","Pita bread","A006S",,,,"Pita bread","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.005.008","Matzo","A006T",,,,"Matzo","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.005.009","Tortilla","A006V",,,,"Tortilla","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.006","Other bread","A004V",,,,"Bread and similar products","Included in another FoodEx code",,
"A.01.04.006.001","Buckwheat bread","A004V#F04.A002G",,,,"Bread and similar products#buckwheat","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.006.002","Corn bread","A004Z",,,,"Wheat bread and rolls, with maize","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.006.003","Extruded bread","A005Z",,,,"Extruded, pressed or puffed bread","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.006.004","Muesli bread","A005Q#F04.A00EL",,,,"Multigrain (not only rye-wheat) bread and rolls#muesli mixed","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.006.005","Oat bread","A005Q#F04.A002Y",,,,"Multigrain (not only rye-wheat) bread and rolls#other (wheat-oat)","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.006.006","Potato bread","A005A",,,,"Wheat bread and rolls, white with potato","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.006.007","Potato-rye bread","A005N#F04.A00ZT","A005P#F04.A00ZT",,,"Rye-wheat bread, refined flour#potatoes","No exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.006.008","Rice bread","A005B",,,,"Wheat bread and rolls, white with rice","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.006.009","Soya bread","A005C",,,,"Wheat bread and rolls, white with soya","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.007","Bread products","A006Z",,,,"Other bread and bread products","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.007.001","Breadcrumbs","A007A",,,,"Breadcrumbs","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.007.002","Croutons","A007B",,,,"Croutons","Exact matching of codes between FoodEx1 and FoodEx2",,
"A.01.04.007.003","Bread stuffing","A007C",,,,"Bread stuffing","Exact matching of codes between FoodEx1 and FoodEx2",,
