"Food code","Food name","Component code","Component name","Facet(s) code","Facet(s) Description","Percentage","Probability","Reverse Yield Factor","Allocation Factor"
"A.08.08.094","Cheese, Juustoleipa","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073E","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=17 % fat",100,1,4.93,0.94
"A.08.08.095","Cheese, Kasseri","A.08.01.005","Goat milk","F28.A0C6E$F02.A06EX$F07.A073M","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=24 % fat",20,1,6.96,0.94
"A.08.08.095","Cheese, Kasseri","A.08.01.002","Sheep milk","F28.A0C6E$F02.A06EX$F07.A073M","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=24 % fat",80,1,4.32,0.94
"A.08.08.096","Cheese, Kefalotyri","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073T","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=30 % fat",100,0.47,8.7,0.94
"A.08.08.096","Cheese, Kefalotyri","A.08.01.005","Goat milk","F28.A0C6E$F02.A06EX$F07.A073T","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=30 % fat",100,0.24,8.7,0.94
"A.08.08.096","Cheese, Kefalotyri","A.08.01.002","Sheep milk","F28.A0C6E$F02.A06EX$F07.A073T","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=30 % fat",100,0.29,5.4,0.94
"A.08.08.099","Cheese, Lancashire","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073X","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=32 % fat",100,1,9.28,0.94
"A.08.08.100","Cheese, Langres","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073P","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=26 % fat",100,1,7.54,0.94
"A.08.08.103","Cheese, Leicester","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073Z","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=34 % fat",100,1,9.86,0.94
"A.08.08.104","Cheese, Leyden","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073B","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=14 % fat",100,1,4.06,0.94
"A.08.08.105","Cheese, Limburger","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073J","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=21 % fat",100,1,6.09,0.94
"A.08.08.107","Cheese, Livarot","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073K","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=22 % fat",100,1,6.38,0.94
"A.08.08.109","Cheese, Maasdam","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073R","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=28 % fat",100,1,8.12,0.94
"A.08.08.110","Cheese, Mahon","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073Z","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=34 % fat",100,1,9.86,0.94
"A.08.08.111","Cheese, Majorero","A.08.01.005","Goat milk","F28.A0C6E$F02.A06EX$F07.A074X","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=54 % fat",100,1,15.66,0.94
"A.08.08.112","Cheese, Manchego","A.08.01.002","Sheep milk","F28.A0C6E$F02.A06EX$F07.A073X","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=32 % fat",100,1,5.76,0.94
"A.08.08.113","Cheese, Mascarpone","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A071G","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=6.5 % fat",100,1,1.89,0.94
"A.08.08.114","Cheese, Mimolette","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073M","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=24 % fat",100,1,6.96,0.94
"A.08.08.115","Cheese, Mizithra","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073F","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=18 % fat",20,1,5.22,0.94
"A.08.08.115","Cheese, Mizithra","A.08.01.005","Goat milk","F28.A0C6E$F02.A06EX$F07.A073F","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=18 % fat",30,1,5.22,0.94
"A.08.08.115","Cheese, Mizithra","A.08.01.002","Sheep milk","F28.A0C6E$F02.A06EX$F07.A073F","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=18 % fat",50,1,3.24,0.94
"A.08.08.118","Cheese, Morbier","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073R","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=28 % fat",100,1,8.12,0.94
"A.08.08.120","Cheese, Mozzarella","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073G","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=19 % fat",100,1,5.51,0.94
"A.08.08.121","Cheese, Munster","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073S","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=29 % fat",100,1,8.41,0.94
"A.08.08.123","Cheese, Nagelkaas","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A072Z","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=12 % fat",100,1,3.48,0.94
"A.08.08.126","Cheese, Oltermanni","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073X","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=32 % fat",100,1,9.28,0.94
"A.08.08.129","Cheese, Parmigiano Reggiano","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073S","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=29 % fat",100,1,8.41,0.94
"A.08.08.130","Cheese, Passendale","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073S","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=29 % fat",100,1,8.41,0.94
"A.08.08.131","Cheese, Pecorino Romano","A.08.01.002","Sheep milk","F28.A0C6E$F02.A06EX$F07.A073F","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=18 % fat",100,1,3.24,0.94
"A.08.08.132","Cheese, Pecorino Toscano","A.08.01.002","Sheep milk","F28.A0C6E$F02.A06EX$F07.A073X","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=32 % fat",100,1,5.76,0.94
"A.08.08.136","Cheese, Pont L'Eveque","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073L","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=23 % fat",100,1,6.67,0.94
"A.08.08.137","Cheese, Pouligny-Saint-Pierre","A.08.01.005","Goat milk","F28.A0C6E$F02.A06EX$F07.A073Q","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=27 % fat",100,1,7.83,0.94
"A.08.08.139","Cheese, Provolone","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073N","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=25 % fat",100,1,7.25,0.94
"A.08.08.140","Cheese, Raclette","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073R","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=28 % fat",100,1,8.12,0.94
"A.08.08.143","Cheese, Reblochon","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073Q","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=27 % fat",100,1,7.83,0.94
"A.08.08.144","Cheese, Ricotta","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A072X","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=10 % fat",100,0.86,2.9,0.94
"A.08.08.144","Cheese, Ricotta","A.08.01.002","Sheep milk","F28.A0C6E$F02.A06EX$F07.A072X","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=10 % fat",100,0.14,1.8,0.94
"A.08.08.146","Cheese, Robiola","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073R","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=28 % fat",69,1,8.12,0.94
"A.08.08.146","Cheese, Robiola","A.08.01.005","Goat milk","F28.A0C6E$F02.A06EX$F07.A073R","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=28 % fat",30,1,8.12,0.94
"A.08.08.146","Cheese, Robiola","A.16.04.001","Salt","F28.A07XD","PROCESS=Unspecified",1,1,1,1
"A.08.08.148","Cheese, Roquefort","A.08.01.002","Sheep milk","F28.A0C6E$F02.A06EX$F07.A073Y","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=33 % fat",100,1,5.94,0.94
"A.08.08.150","Cheese, Saint Marcellin","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073Q","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=27 % fat",100,1,7.83,0.94
"A.08.08.151","Cheese, Saint Nectaire","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073Q","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=27 % fat",100,1,7.83,0.94
"A.08.08.152","Cheese, Saint Paulin","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073N","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=25 % fat",100,1,7.25,0.94
"A.08.08.158","Cheese, Scamorza","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073P","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=26 % fat",100,1,7.54,0.94
"A.08.08.161","Cheese, Smoked Gouda","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073R","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=28 % fat",100,1,8.12,0.94
"A.08.08.162","Cheese, Stilton","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A074A","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=35 % fat",100,1,10.15,0.94
"A.08.08.164","Cheese, Telemea","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073M","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=24 % fat",100,0.15,6.96,0.94
"A.08.08.164","Cheese, Telemea","A.08.01.002","Sheep milk","F28.A0C6E$F02.A06EX$F07.A073H","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=20 % fat",100,0.85,3.6,0.94
"A.08.08.166","Cheese, Tetilla","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A074A","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=35 % fat",100,1,10.15,0.94
"A.08.08.167","Cheese, Tilsit","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073S","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=29 % fat",100,1,8.41,0.94
"A.08.08.169","Cheese, Tomme de Savoie","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073R","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=28 % fat",100,1,8.12,0.94
"A.08.08.170","Cheese, Torta del Casar","A.08.01.002","Sheep milk","F28.A0C6E$F02.A06EX$F07.A073Y","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=33 % fat",100,1,5.94,0.94
"A.08.08.171","Cheese, Trappist","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073R","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=28 % fat",100,1,8.12,0.94
"A.08.08.176","Cheese, UrdÄƒ","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A072P","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=9.4 % fat",100,0.5,2.73,0.94
"A.08.08.176","Cheese, UrdÄƒ","A.08.01.002","Sheep milk","F28.A0C6E$F02.A06EX$F07.A072X","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=10 % fat",100,0.5,1.8,0.94
"A.08.08.178","Cheese, Vacherin Mont d'Or","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073P","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=26 % fat",100,1,7.54,0.94
"A.08.08.183","Cheese, Wensleydale","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073X","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=32 % fat",100,1,9.28,0.94
"A.08.08.184","Cheese, White Stilton","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","F28.A0C6E$F02.A06EX$F07.A073V","PROCESS=Cheesemaking, PART-NATURE=Cheese (as part-nature), FAT-CONTENT=31 % fat",100,1,8.99,0.94
"A.08.09.001","Almond drink","A.04.03.001","Almond, sweet (Prunus amygalus dulcis)","F28.A07XD","PROCESS=Unspecified",2.3,1,1,1
"A.08.09.001","Almond drink","A.16.04.001","Salt","F28.A07XD","PROCESS=Unspecified",0.14,1,1,1
"A.08.09.001","Almond drink","A.15.01","Tap water","F28.A07XD","PROCESS=Unspecified",95.16,1,1,1
"A.08.09.001","Almond drink","A.10.01.001","White sugar","To be further disaggregated (d)",,2.4,1,1,1
"A.08.09.002","Imitation cream","A.08.06.008","Buttermilk","To be further disaggregated (d)",,71.5,1,1,1
"A.08.09.002","Imitation cream","A.11.03","Vegetable fat","To be further disaggregated (p)",,27,1,1,1
"A.08.09.002","Imitation cream","A.11.04","Vegetable oil","To be further disaggregated (p)",,1.5,1,1,1
"A.08.09.003","Non dairy coffee creamer","A.10.06.004","Corn syrup","To be further disaggregated (d)",,57.6,1,1,1
"A.08.09.003","Non dairy coffee creamer","A.08.07.002","Milk protein","To be further disaggregated (d)",,2.4,1,1,1
"A.08.09.003","Non dairy coffee creamer","A.11.03","Vegetable fat","To be further disaggregated (p)",,40,1,1,1
"A.08.09.004","Oats drink","A.01.02.008","Oats, grain","F28.A07XD","PROCESS=Unspecified",10,1,1,1
"A.08.09.004","Oats drink","A.16.04.001","Salt","F28.A07XD","PROCESS=Unspecified",0.1,1,1,1
"A.08.09.004","Oats drink","A.15.01","Tap water","F28.A07XD","PROCESS=Unspecified",89.9,1,1,1
"A.08.09.005","Rice drink","A.01.02.009","Rice","F28.A07XD","PROCESS=Unspecified",13.8,1,1,1
"A.08.09.005","Rice drink","A.16.04.001","Salt","F28.A07XD","PROCESS=Unspecified",0.15,1,1,1
"A.08.09.005","Rice drink","A.11.04.017","Sunflower oil","To be further disaggregated (d)",,1,1,1,1
"A.08.09.005","Rice drink","A.15.01","Tap water","F28.A07XD","PROCESS=Unspecified",85.05,1,1,1
"A.08.09.007","Soya cheese","A.04.02.012","Soya beans (Glycine max)","F28.A07XD","PROCESS=Unspecified",26,1,1,1
"A.08.09.007","Soya cheese","A.15.01","Tap water","F28.A07XD","PROCESS=Unspecified",74,1,1,1
"A.08.09.008","Soya drink","A.04.02.012","Soya beans (Glycine max)","F28.A07XD","PROCESS=Unspecified",5,1,1,1
"A.08.09.008","Soya drink","A.15.01","Tap water","F28.A07XD","PROCESS=Unspecified",95,1,1,1
"A.08.09.009","Soya yoghurt","A.04.02.012","Soya beans (Glycine max)","F28.A07XD","PROCESS=Unspecified",9,1,1,1
"A.08.09.009","Soya yoghurt","A.15.01","Tap water","F28.A07XD","PROCESS=Unspecified",91,1,1,1
"A.08.09.011","Tofu","A.04.02.012","Soya beans (Glycine max)","F28.A07XD","PROCESS=Unspecified",26,1,1,1
"A.08.09.011","Tofu","A.15.01","Tap water","F28.A07XD","PROCESS=Unspecified",74,1,1,1
"A.09.01.001","Whole egg, chicken","A.09.01.001","Whole egg, chicken","F28.A07XD","PROCESS=Unspecified",100,1,1,1
"A.09.01.002","Egg yolk, chicken","A.09.01.001","Whole egg, chicken","F28.A07XD$F02.A06BT","PROCESS=Unspecified, PART-NATURE=Egg yolk (as part-nature)",100,1,2.43,0.5
"A.09.01.003","Egg white, chicken","A.09.01.001","Whole egg, chicken","F28.A07XD$F02.A06BV","PROCESS=Unspecified, PART-NATURE=Egg white (as part-nature)",100,1,1.7,0.5
"A.09.01.005","Duck eggs","A.09.01.005","Duck eggs","F28.A07XD","PROCESS=Unspecified",100,1,1,1
"A.09.01.006","Goose eggs","A.09.01.006","Goose eggs","F28.A07XD","PROCESS=Unspecified",100,1,1,1
"A.09.01.007","Quail eggs","A.09.01.007","Quail eggs","F28.A07XD","PROCESS=Unspecified",100,1,1,1
"A.09.02.001","Dried egg, whole","A.09.01.001","Whole egg, chicken","F28.A07KG","PROCESS=Drying (dehydration)",100,1,4,1
"A.09.02.002","Dried egg yolk","A.09.01.001","Whole egg, chicken","F28.A07KG$F02.A06BT","PROCESS=Drying (dehydration), PART-NATURE=Egg yolk (as part-nature)",100,1,5.65,0.5
"A.09.02.003","Dried egg white","A.09.01.001","Whole egg, chicken","F28.A07KG$F02.A06BV","PROCESS=Drying (dehydration), PART-NATURE=Egg white (as part-nature)",100,1,13.3,0.5
"A.10.01.001","White sugar","A.02.08.001","Sugar beet (root) (Beta vulgaris)","F28.A0C04$F02.A0EPY$F10.A07XK","PROCESS=Sugar production, PART-NATURE=Sucrose (as part-nature), QUALITATIVE-INFO=White/refined",100,0.5,7.63,0.8
"A.10.01.001","White sugar","A.02.08.002","Sugar cane (Saccharum officinarum)","F28.A0C04$F02.A0EPY$F10.A07XK","PROCESS=Sugar production, PART-NATURE=Sucrose (as part-nature), QUALITATIVE-INFO=White/refined",100,0.5,9.7,0.8
"A.10.01.002","Brown sugar","A.02.08.001","Sugar beet (root) (Beta vulgaris)","F28.A0C04$F02.A0EPY$F10.A0F5K","PROCESS=Sugar production, PART-NATURE=Sucrose (as part-nature), QUALITATIVE-INFO=Brown",100,0.5,7.14,0.8
"A.10.01.002","Brown sugar","A.02.08.002","Sugar cane (Saccharum officinarum)","F28.A0C04$F02.A0EPY$F10.A0F5K","PROCESS=Sugar production, PART-NATURE=Sucrose (as part-nature), QUALITATIVE-INFO=Brown",100,0.5,9.09,0.8
"A.10.01.004","Cane sugar","A.02.08.002","Sugar cane (Saccharum officinarum)","F28.A0C04$F02.A0EPY$F10.A07XK","PROCESS=Sugar production, PART-NATURE=Sucrose (as part-nature), QUALITATIVE-INFO=White/refined",100,1,9.7,0.8
"A.10.01.006","Sugar, icing","A.10.01.001","White sugar","To be further disaggregated (d)",,100,1,1,1
"A.10.01.007","Fructose","A.10.01.008","Glucose","To be further disaggregated (d)",,100,1,1,1
"A.10.01.008","Glucose","A.01.03.004.003","Corn starch","To be further disaggregated (d)",,100,0.5,1,1
"A.10.01.008","Glucose","A.03.01.010","Potato starch","To be further disaggregated (d)",,100,0.5,1,1
"A.10.01.011","Sucrose","A.10.01.001","White sugar","To be further disaggregated (d)",,100,1,1,1
"A.10.02.001","Nutritive sweeteners (e.g., sorbitol, manitol)","A.10.02.001","Nutritive sweeteners (e.g., sorbitol, manitol)","F28.A0C0R","PROCESS=Processed",100,1,1,1
"A.10.02.001.007","Hydrogenated starch hydrolysates","A.10.02.001.007","Hydrogenated starch hydrolysates","F28.A0C0R","PROCESS=Processed",100,1,1,1
"A.10.02.002.001","Saccharine","A.10.02.002.001","Saccharine","F28.A0C0R","PROCESS=Processed",100,1,1,1
"A.10.02.002.002","Aspartam","A.10.02.002.002","Aspartam","F28.A0C0R","PROCESS=Processed",100,1,1,1
"A.10.02.002.005","Cyclamate","A.10.02.002.005","Cyclamate","F28.A0C0R","PROCESS=Processed",100,1,1,1
"A.10.03.001","Bitter chocolate","A.11.03.003","Cocoa butter","To be further disaggregated (d)",,12.06,1,1,1
"A.10.03.001","Bitter chocolate","A.02.11.004","Cocoa mass","To be further disaggregated (d)",,40.2,1,1,1
"A.10.03.001","Bitter chocolate","A.10.01.001","White sugar","To be further disaggregated (d)",,47.74,1,1,1
"A.10.03.010","Pralines","A.04.03.001","Almond, sweet (Prunus amygalus dulcis)","F28.A07LA","PROCESS=Grinding / milling / crushing",4.9,1,1,1
"A.10.03.010","Pralines","A.11.01.001","Butter","To be further disaggregated (d)",,1.39,1,1,1
"A.10.03.010","Pralines","A.11.03.003","Cocoa butter","To be further disaggregated (d)",,3.49,1,1,1
"A.10.03.010","Pralines","A.02.11.004","Cocoa mass","To be further disaggregated (d)",,26.71,1,1,1
"A.10.03.010","Pralines","A.02.11.002","Cocoa powder","To be further disaggregated (d)",,3.76,1,1,1
"A.10.03.010","Pralines","A.11.04.002","Coconut oil","To be further disaggregated (d)",,2.11,1,1,1
"A.10.03.010","Pralines","A.08.03.002.002","Condensed milk 4% fat","To be further disaggregated (d)",,0.05,1,1,1
"A.10.03.010","Pralines","A.04.03.007","Hazelnuts (Corylus avellana)","F28.A07XD","PROCESS=Unspecified",5.58,1,1,1
"A.10.03.010","Pralines","A.10.07","Honey","F28.A07XD","PROCESS=Unspecified",0.01,1,1,1
"A.10.03.010","Pralines","A.08.03.003.001","Milk powder, whole","To be further disaggregated (d)",,2.83,1,1,1
"A.10.03.010","Pralines","A.11.04.010","Palm oil","To be further disaggregated (d)",,2.11,1,1,1
"A.10.03.010","Pralines","A.04.03.011","Pistachios (Pistachia vera)","F28.A07XD","PROCESS=Unspecified",0.23,1,1,1
"A.10.03.010","Pralines","A.11.04.013","Rapeseed oil","To be further disaggregated (d)",,2.11,1,1,1
"A.10.03.010","Pralines","A.11.04.017","Sunflower oil","To be further disaggregated (d)",,2.11,1,1,1
"A.10.03.010","Pralines","A.15.01","Tap water","F28.A07XD","PROCESS=Unspecified",1.6,1,1,1
"A.10.03.010","Pralines","A.16.09.002","Vanilla essence","To be further disaggregated (d)",,1.64,1,1,1
"A.10.03.010","Pralines","A.10.01.001","White sugar","To be further disaggregated (d)",,39.37,1,1,1
"A.10.03.011","Cooking chocolate","A.11.03.003","Cocoa butter","To be further disaggregated (d)",,13.5,1,1,1
"A.10.03.011","Cooking chocolate","A.02.11.004","Cocoa mass","To be further disaggregated (d)",,39,1,1,1
"A.10.03.011","Cooking chocolate","A.16.09.002","Vanilla essence","To be further disaggregated (d)",,0.5,1,1,1
"A.10.03.011","Cooking chocolate","A.10.01.001","White sugar","To be further disaggregated (d)",,47,1,1,1
"A.10.03.014","Chocolate substitutes","A.02.11.002","Cocoa powder","To be further disaggregated (d)",,21.13,1,1,1
"A.10.03.014","Chocolate substitutes","A.11.04.002","Coconut oil","To be further disaggregated (d)",,56.34,1,1,1
"A.10.03.014","Chocolate substitutes","A.10.07","Honey","F28.A07XD","PROCESS=Unspecified",21.13,1,1,1
"A.10.03.014","Chocolate substitutes","A.16.09.002","Vanilla essence","To be further disaggregated (d)",,1.4,1,1,1
"A.10.04.001","Candies, with sugar","A.10.06.004","Corn syrup","To be further disaggregated (d)",,30.87,1,1,1
"A.10.04.001","Candies, with sugar","A.16.09","Flavourings or essences","To be further disaggregated (p)",,1.3,1,1,1
"A.10.04.001","Candies, with sugar","A.10.01.001","White sugar","To be further disaggregated (d)",,67.83,1,1,1
"A.10.04.002","Candies, sugar free","A.16.09","Flavourings or essences","To be further disaggregated (p)",,1.3,1,1,1
"A.10.04.002","Candies, sugar free","A.10.02.001","Nutritive sweeteners (e.g., sorbitol, manitol)","To be further disaggregated (d)",,98.7,1,1,1
"A.10.04.003","Marzipan","A.04.03.001","Almond, sweet (Prunus amygalus dulcis)","F28.A07LA","PROCESS=Grinding / milling / crushing",65,1,1,1
"A.10.04.003","Marzipan","A.10.06.004","Corn syrup","To be further disaggregated (d)",,3.5,1,1,1
"A.10.04.003","Marzipan","A.10.01.001","White sugar","To be further disaggregated (d)",,31.5,1,1,1
"A.10.04.004","Caramel, hard","A.11.01.001","Butter","To be further disaggregated (d)",,4,1,1,1
"A.10.04.004","Caramel, hard","A.10.06.004","Corn syrup","To be further disaggregated (d)",,42,1,1,1
"A.10.04.004","Caramel, hard","A.08.03.003.001","Milk powder, whole","To be further disaggregated (d)",,12,1,1,1
"A.10.04.004","Caramel, hard","A.10.01.001","White sugar","To be further disaggregated (d)",,42,1,1,1
"A.10.04.005","Caramel, soft","A.10.06.004","Corn syrup","To be further disaggregated (d)",,20,1,1,1
"A.10.04.005","Caramel, soft","A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)","To be further disaggregated (d)",,52,1,1,1
"A.10.04.005","Caramel, soft","A.10.01.001","White sugar","To be further disaggregated (d)",,28,1,1,1
"A.10.04.006","Toffee","A.11.01.001","Butter","To be further disaggregated (d)",,53.1,1,1,1
"A.10.04.006","Toffee","A.16.04.001","Salt","F28.A07XD","PROCESS=Unspecified",0.23,1,1,1
"A.10.04.006","Toffee","A.10.01.001","White sugar","To be further disaggregated (d)",,46.67,1,1,1
"A.10.04.007","Fudge","A.11.01.001","Butter","To be further disaggregated (d)",,4.58,1,1,1
"A.10.04.007","Fudge","A.08.03.002.002","Condensed milk 4% fat","To be further disaggregated (d)",,33.03,1,1,1
