Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01342.01","Pears","2023","2023","kg/ha","7000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01342.01","Pears","2024","2024","kg/ha","6635.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01705","Peas, dry","2020","2020","kg/ha","1100.5","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01705","Peas, dry","2021","2021","kg/ha","1150.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01705","Peas, dry","2022","2022","kg/ha","1220.2","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01705","Peas, dry","2023","2023","kg/ha","1077.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01705","Peas, dry","2024","2024","kg/ha","1109.2","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01375","Pistachios, in shell","2020","2020","kg/ha","1274.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01375","Pistachios, in shell","2021","2021","kg/ha","1297.4","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01375","Pistachios, in shell","2022","2022","kg/ha","1298.2","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01375","Pistachios, in shell","2023","2023","kg/ha","1309.5","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01375","Pistachios, in shell","2024","2024","kg/ha","1321","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01346","Plums and sloes","2020","2020","kg/ha","9549.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01346","Plums and sloes","2021","2021","kg/ha","8737.8","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01346","Plums and sloes","2022","2022","kg/ha","8663.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01346","Plums and sloes","2023","2023","kg/ha","8640","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01346","Plums and sloes","2024","2024","kg/ha","8620","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01510","Potatoes","2020","2020","kg/ha","15936.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01510","Potatoes","2021","2021","kg/ha","15785.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01510","Potatoes","2022","2022","kg/ha","15875","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01510","Potatoes","2023","2023","kg/ha","14573.8","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01510","Potatoes","2024","2024","kg/ha","13639.6","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","2020","2020","kg/ha","4441.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","2021","2021","kg/ha","4406.5","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","2022","2022","kg/ha","4625","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","2023","2023","kg/ha","4627.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0113","Rice","2024","2024","kg/ha","5061.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01921.01","Seed cotton, unginned","2020","2020","kg/ha","1305.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01921.01","Seed cotton, unginned","2021","2021","kg/ha","1365.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01921.01","Seed cotton, unginned","2022","2022","kg/ha","1320.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01921.01","Seed cotton, unginned","2023","2023","kg/ha","1307.9","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01921.01","Seed cotton, unginned","2024","2024","kg/ha","1321.3","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01444","Sesame seed","2020","2020","kg/ha","645.3","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01444","Sesame seed","2021","2021","kg/ha","691.6","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01444","Sesame seed","2022","2022","kg/ha","858.1","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01444","Sesame seed","2023","2023","kg/ha","700","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01444","Sesame seed","2024","2024","kg/ha","635.9","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0141","Soya beans","2022","2022","kg/ha","1589.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0141","Soya beans","2023","2023","kg/ha","2000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","0141","Soya beans","2024","2024","kg/ha","2139.7","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01801","Sugar beet","2020","2020","kg/ha","14501.4","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01801","Sugar beet","2021","2021","kg/ha","14845.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01801","Sugar beet","2022","2022","kg/ha","16839.7","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01801","Sugar beet","2023","2023","kg/ha","20000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01801","Sugar beet","2024","2024","kg/ha","19097.4","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5412","Yield","01802","Sugar cane","2020","2020","kg/ha","26146.7","A","Official figure",""
