SUA Code,SUA Name,Category,Item Code,Item Name
21170.01,Pigeon fresh meat,Meat,1166,Meat nes
21170.92,"Other meat n.e.c, fresh, chilled or frozen",Meat,1166,Meat nes
BF-01,Herrings,Fish,,Fish
BF-02,Herring roe,Fish,,Fish
BF-03,Sprat,Fish,,Fish
BF-04,European sardine,Fish,,Fish
BF-05,Anchovies,Fish,,Fish
BF-06,Char,Fish,,Fish
BF-07,Smelt,Fish,,Fish
BF-08,Whitefishes or coregonus,Fish,,Fish
BF-09,Perch,Fish,,Fish
BF-10,Sea bass,Fish,,Fish
BF-11,Mackerel,Fish,,Fish
BF-12,Tuna and bonito (generic),Fish,,Fish
BF-13,Mullets,Fish,,Fish
BF-14,Hakes,Fish,,Fish
BF-15,Flounders,Fish,,Fish
BF-16,Halibut,Fish,,Fish
BF-17,Plaice,Fish,,Fish
BF-18,Sole,Fish,,Fish
BF-19,Carps,Fish,,Fish
BF-20,Freshwater bream - Europe,Fish,,Fish
BF-21,River eels,Fish,,Fish
BF-22,Anglerfish and monkfish,Fish,,Fish
BF-23,Sharks,Fish,,Fish
BF-24,Rays,Fish,,Fish
BF-25,Sturgeon roe,Fish,,Fish
BF-26,Bonito,Fish,,Fish
BF-27,Sardines and sardine-type fishes,Fish,,Fish
BF-28,Swordfish,Fish,,Fish
BF-29,Freshwater crabs,Fish,,Fish
BF-30,Lobsters,Fish,,Fish
BF-31,"Lobster, norway",Fish,,Fish
BF-32,"Prawn, giant tiger",Fish,,Fish
BF-33,White shrimp,Fish,,Fish
BF-34,Spiny and rock lobsters,Fish,,Fish
BF-35,Freshwater crayfishes,Fish,,Fish
BF-36,Squids,Fish,,Fish
BF-37,Octopuses,Fish,,Fish
BF-38,Cuttlefishes,Fish,,Fish
BF-39,Clams,Fish,,Fish
BF-40,Cockles,Fish,,Fish
BF-41,Mussels,Fish,,Fish
BF-42,Oysters,Fish,,Fish
BF-43,"Scallops, pectens",Fish,,Fish
BF-44,"Water snails, conches and whelks",Fish,,Fish
BF-45,"Water snails, conches and whelks",Fish,,Fish
BF-46,Frogs (legs),Fish,,Fish
BF-47,Snails,Fish,,Fish
BF-48,Salmons,Fish,,Fish
BF-49,Trouts,Fish,,Fish
BF-50,Catfishes (freshwater),Fish,,Fish
BF-51,Wolffish,Fish,,Fish
BF-52,Cod,Fish,,Fish
BF-53,Cod liver,Fish,,Fish
BF-54,Cod roe,Fish,,Fish
BF-55,Whiting,Fish,,Fish
BF-56,Haddock,Fish,,Fish
BF-57,Lumpfish roe,Fish,,Fish
